Label	Zpos	Ypos	Xpos	Zdisp	Ydisp	Xdisp	Fzz	Fzy	Fzx	Fyz	Fyy	Fyx	Fxz	Fxy	Fxx	PSCC	error	iterations	returnStatus	deltaPhiNorm	LabelDilate
0.0000000	0.0000000	0.0000000	0.0000000	64.1471024	-43.5673452	-93.2137257	0.9090295	0.0000000	0.0000000	0.0000000	1.1427859	0.0000000	0.0000000	0.0000000	1.1427859	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
1.0000000	70.6253281	317.0544739	311.4128418	105.9357478	47.9929267	10.3335439	0.9979748	0.0201090	0.0603480	-0.0213920	0.9995571	0.0206897	-0.0599052	-0.0219388	0.9979630	0.0000000	5963.2749023	300.0000000	1.0000000	0.0344266	2.0000000
2.0000000	114.4886780	281.8860168	482.3728333	100.5320415	-11.9821056	-89.5717246	0.8964451	-0.2317031	-0.3777563	-0.4416887	-0.3978737	-0.8041191	0.0360176	0.8876994	-0.4590126	0.0000000	3700.7773438	300.0000000	1.0000000	0.0025906	2.0000000
3.0000000	116.1682587	423.9400330	448.9346008	75.8678362	66.6913352	-6.7885403	0.1975167	0.5763695	-0.7929598	0.0621895	0.7998989	0.5969039	0.9783249	-0.1672122	0.1221493	0.0000000	1262.2176514	37.0000000	2.0000000	0.0006645	2.0000000
4.0000000	123.6351624	428.3706970	372.3718262	95.8581290	8.2772584	6.2514755	0.9567731	-0.2905882	0.0119874	0.2852142	0.9455482	0.1568168	-0.0569038	-0.1466191	0.9875550	0.0000000	1399.8061523	124.0000000	2.0000000	0.0009358	2.0000000
5.0000000	121.4871674	508.2518005	398.2581787	76.1361590	28.6953013	-28.4432248	0.6546606	-0.5117633	-0.5563433	0.6332646	0.7731907	0.0339408	0.4127898	-0.3745322	0.8302591	0.0000000	808.1492310	10.0000000	2.0000000	0.0005161	2.0000000
6.0000000	135.0216980	198.6672668	343.3665161	70.8393844	-23.0784334	-16.5780959	0.6357917	0.5963423	-0.4900457	0.5320537	-0.7985547	-0.2814770	-0.5591849	-0.0817699	-0.8250006	0.0000000	499.8086853	244.0000000	2.0000000	0.0009801	2.0000000
7.0000000	135.7638855	391.8630676	524.2311401	69.7544226	-14.1819280	-23.4265561	0.8713727	-0.1024342	-0.4798091	-0.2550180	0.7409053	-0.6213092	0.4191364	0.6637519	0.6194821	0.0000000	1555.1906738	300.0000000	1.0000000	0.0095282	2.0000000
8.0000000	124.7665176	187.8208923	535.8313599	58.4469995	46.7504195	3.1381914	0.8925564	-0.0618512	-0.4466738	0.4315208	-0.1703713	0.8858687	-0.1308925	-0.9834369	-0.1253759	0.0000000	2900.7075195	166.0000000	2.0000000	0.0008927	2.0000000
9.0000000	117.8240891	254.7537231	563.9946899	66.6711798	-5.2282366	-17.6026327	0.7502003	0.5702901	-0.3346172	0.3126058	-0.7518451	-0.5805226	-0.5826466	0.3309050	-0.7423105	0.0000000	246.9169159	66.0000000	2.0000000	0.0009929	2.0000000
10.0000000	121.7570114	503.0414124	221.6474457	87.6750924	57.3969144	-48.6119239	0.9745717	-0.2154487	-0.0615781	0.1987318	0.9580184	-0.2066552	0.1035166	0.1891628	0.9764741	0.0000000	2392.2983398	300.0000000	1.0000000	0.0019247	2.0000000
11.0000000	136.7309113	339.4979858	554.5889282	73.5157125	1.4380759	-4.3891111	0.4508578	0.8837391	-0.1254292	0.0400835	0.1203344	0.9919239	0.8916953	-0.4522443	0.0188303	0.0000000	398.4790955	49.0000000	2.0000000	0.0009174	2.0000000
12.0000000	132.0618744	362.4068909	271.5236816	76.1784805	2.5978953	5.4715043	0.9584457	-0.2662563	0.1024179	0.2791479	0.9493429	-0.1443070	-0.0588071	0.1669002	0.9842185	0.0000000	3160.6298828	300.0000000	1.0000000	0.0028169	2.0000000
13.0000000	131.1965332	116.4511261	295.0337219	118.5762906	35.4745138	-45.9369648	0.9832357	0.1823165	0.0028845	-0.0669917	0.3464836	0.9356609	0.1695870	-0.9201684	0.3528887	0.0000000	5046.0732422	300.0000000	1.0000000	0.0234133	2.0000000
14.0000000	126.9977875	180.3579712	235.2042542	104.9305966	-6.3824475	-90.9182077	0.9402370	0.3311497	-0.0793361	-0.3169762	0.9362692	0.1514133	0.1244205	-0.1172167	0.9852816	0.0000000	3175.8881836	300.0000000	1.0000000	0.0252061	2.0000000
15.0000000	137.7082367	432.5291748	207.5207062	42.0169422	25.2413063	-64.5381042	0.3775232	0.9223614	-0.0820107	-0.5222454	0.1389433	-0.8414003	-0.7646803	0.3604779	0.5341533	0.0000000	1037.4327393	300.0000000	1.0000000	0.3333517	2.0000000
16.0000000	141.7607422	431.5037231	301.5751038	59.3384503	41.4153016	-85.5476936	0.9939713	0.0543896	0.0951984	-0.0769901	0.9644384	0.2528460	-0.0780608	-0.2586510	0.9628116	0.0000000	124.5274734	23.0000000	2.0000000	0.0009280	2.0000000
17.0000000	146.5125580	297.9857483	311.3272400	42.9725789	-20.8433581	-55.2809459	0.4529903	-0.8434977	-0.2886373	-0.8065108	-0.2497551	-0.5358756	0.3799212	0.4755355	-0.7934266	0.0000000	245.9120178	19.0000000	2.0000000	0.0009879	2.0000000
18.0000000	143.9009705	339.5614014	169.4306946	51.6293090	36.2671009	-90.1709589	0.5949325	-0.2522059	0.7631825	0.4785304	-0.6517486	-0.5884152	0.6458049	0.7152733	-0.2670583	0.0000000	489.2876282	149.0000000	2.0000000	0.0009937	2.0000000
19.0000000	149.8199463	370.5906067	411.2420044	60.3247374	-3.8313235	-24.6137681	0.2869850	0.8472951	0.4469123	-0.6656577	0.5118847	-0.5430229	-0.6888683	-0.1416512	0.7109117	0.0000000	131.7183838	300.0000000	1.0000000	0.0030681	2.0000000
