Label	Zpos	Ypos	Xpos	Zdisp	Ydisp	Xdisp	Fzz	Fzy	Fzx	Fyz	Fyy	Fyx	Fxz	Fxy	Fxx	PSCC	error	iterations	returnStatus	deltaPhiNorm	LabelDilate
0.0000000	0.0000000	0.0000000	0.0000000	58.1385938	14.6841198	55.2752126	0.9919412	0.0000000	0.0000000	0.0000000	1.0249724	0.0000000	0.0000000	0.0000000	1.0249724	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
1.0000000	44.5590134	293.5484314	292.4603577	21.7823211	17.9815887	-4.4192340	0.3102396	-0.1444009	0.9396275	0.0249364	0.9892925	0.1438001	-0.9503313	-0.0211815	0.3105186	0.0000000	12887.9824219	300.0000000	1.0000000	0.0111248	2.0000000
2.0000000	38.0135956	386.6303711	227.6115417	40.7081396	-27.5704269	48.7657786	0.0640564	0.5689704	0.8198594	0.9952755	-0.0964881	-0.0108005	0.0729615	0.8166778	-0.5724631	0.0000000	9211.9052734	300.0000000	1.0000000	0.2706444	2.0000000
3.0000000	40.4859161	301.6727600	219.4697266	37.1006189	65.6334504	58.0878740	-0.3309127	-0.6135005	-0.7170174	0.4851615	0.5411057	-0.6868937	0.8093918	-0.5751711	0.1185881	0.0000000	5310.1293945	300.0000000	1.0000000	0.1122040	2.0000000
4.0000000	44.7075386	175.4165649	362.8401184	16.0681416	57.9096193	2.8998856	-0.3826774	-0.8754568	0.2951837	-0.8992248	0.4262640	0.0984564	-0.2120205	-0.2277595	-0.9503541	0.0000000	14370.2929688	300.0000000	1.0000000	0.1420510	2.0000000
5.0000000	54.9905624	228.9161530	249.3256378	16.6432193	65.7484734	73.6038328	0.9420685	0.3333931	0.0368233	-0.3305328	0.9414028	-0.0671479	-0.0570522	0.0510866	0.9970633	0.0000000	7611.0141602	300.0000000	1.0000000	0.0368645	2.0000000
6.0000000	53.6439438	380.0980835	152.6669159	22.9256821	-14.2610992	109.4626605	-0.1042029	-0.2607705	0.9597607	-0.0999850	0.9628719	0.2507603	-0.9895174	-0.0698317	-0.1264071	0.0000000	9365.7832031	300.0000000	1.0000000	0.0081211	2.0000000
7.0000000	60.8293839	287.1170349	152.5246582	16.1309607	66.0560561	110.4199186	0.9428935	0.2002925	0.2661480	-0.1999034	0.9793909	-0.0288453	-0.2664405	-0.0260058	0.9635005	0.0000000	9035.3349609	300.0000000	1.0000000	0.0772212	2.0000000
8.0000000	62.1234741	379.1199951	295.7628784	62.8767624	47.4847091	76.7481452	0.7310839	-0.1986186	0.6527380	0.5277541	0.7709594	-0.3565070	-0.4324256	0.6051217	0.6684578	0.0000000	512.2317505	31.0000000	2.0000000	0.0009459	2.0000000
9.0000000	63.6737747	237.5215912	337.6639099	90.0785936	66.2838064	54.3383908	-0.0390226	-0.9812332	-0.1888352	0.9949232	-0.0206102	-0.0985044	0.0927638	-0.1917204	0.9770559	0.0000000	1336.4476318	106.0000000	2.0000000	0.0008619	2.0000000
