bead_a,bead_b,r_a_vox,r_b_vox,gap_vox,gap_um,dsum_min,z_mid,axis_dip_deg,lens_vox,lens_mm3,binder_vox,pore_vox,crack_vox,binder_frac,pore_frac,crack_frac,connected,bond_area_vox,r_bond_vox,r_bond_over_R,neck_binder_vox,neck_crack_vox,neck_severed,q_crack_med,q_binder_med,q_pore_med,dq_paired
1,3,38.0685808232266,37.02104262251227,1.0,24.7660229,2.0,42.52246516992696,86.82559695669649,3586,0.054472724284239625,3584,2,0,0.9994422755158952,0.0005577244841048522,0.0,True,2757.0,29.62398278774667,0.7890299998415493,2789,0,0.0,,0.30484544052339907,0.4377799956880567,
1,5,38.0685808232266,35.60232913625126,3.414213562373095,84.55649127122264,4.414213562373095,49.77478857055882,82.35392830053895,4399,0.06682250812224487,4398,1,0,0.9997726756080928,0.00022732439190725165,0.0,True,1670.0,23.055964736417568,0.6259177400984821,1689,0,0.0,,0.28172904669025317,0.37215467497755456,
1,9,38.0685808232266,34.84638340114924,1.0,24.7660229,2.0,54.11639530885246,75.12969053795506,2946,0.04475087722849134,2486,460,0,0.8438560760353021,0.1561439239646979,0.0,True,2019.0,25.35089071817938,0.6953549518359209,2022,0,0.0,,0.2761090914020477,0.4068781988545112,
1,23,38.0685808232266,34.777303502837576,1.0,24.7660229,2.0,72.32040696687207,36.942276268702635,3272,0.04970294307251312,3263,9,0,0.9972493887530562,0.0027506112469437654,0.0,True,3186.0,31.84549100550276,0.874325057623289,3196,0,0.0,,0.3090169943749474,0.44579905519622387,
1,28,38.0685808232266,35.448921099236735,1.0,24.7660229,2.0,76.75008798484865,27.78295784626933,3236,0.04915608917562728,3228,8,0,0.9975278121137207,0.002472187886279357,0.0,True,2292.0,27.010484244701136,0.7348041905229116,2301,0,0.0,,0.3090169943749474,0.38313722805237593,
2,3,36.543443362447874,37.02104262251227,8.0,198.1281832,9.0,39.24975507664317,88.34072451454676,7720,0.11726978010996372,2714,5006,0,0.3515544041450777,0.6484455958549222,0.0,True,1081.0,18.54974358218134,0.504312463651924,1121,0,0.0,,0.1135041612651109,0.3510714832006494,
2,6,36.543443362447874,35.83182066586484,1.0,24.7660229,2.0,45.82876971077389,78.26259820670847,2850,0.04329260017012909,2748,102,0,0.9642105263157895,0.035789473684210524,0.0,True,1684.0,23.152404806704283,0.6397877815726439,1690,0,0.0,,0.3090169943749474,0.4,
2,8,36.543443362447874,35.70056238611542,1.0,24.7660229,2.0,50.068535296715964,70.62623549881332,4366,0.06632122538343285,4093,273,0,0.9374713696747595,0.06252863032524049,0.0,True,2612.0,28.834448541840736,0.798251654045752,2617,0,0.0,,0.31451985913875646,0.4142135623730951,
3,7,37.02104262251227,37.79714850630373,1.0,24.7660229,2.0,50.657649587522286,73.46147622156333,3518,0.05343977803456637,3349,169,0,0.9519613416714042,0.048038658328595794,0.0,True,1879.0,24.45617051255864,0.6537493126625303,1879,0,0.0,,0.30383243470068705,0.38742588672279316,
3,21,37.02104262251227,36.59943144756618,1.0,24.7660229,2.0,68.88329311102969,40.3381532125657,3152,0.04788009674956032,3121,31,0,0.9901649746192893,0.00983502538071066,0.0,True,2358.0,27.396618616562492,0.7442662917515033,2359,0,0.0,,0.3090169943749474,0.4211646096066227,
3,27,37.02104262251227,37.70081696827933,1.0,24.7660229,2.0,74.48675728779776,25.523515556596674,3134,0.0476066698011174,3134,0,0,1.0,0.0,0.0,True,2545.0,28.46223217419441,0.7618180899154703,2545,0,0.0,,0.3008613653919205,,
4,9,36.135239930596,34.84638340114924,1.0,24.7660229,2.0,54.1906570053675,74.19747540162234,3151,0.04786490636353571,2911,240,0,0.9238337035861631,0.07616629641383688,0.0,True,1447.0,21.46146326110932,0.6047047743837966,1447,0,0.0,,0.3090169943749474,0.4068781988545112,
4,13,36.135239930596,36.81546647695357,1.0,24.7660229,2.0,58.521909407732394,67.6978464003026,3281,0.049839656546734584,3280,1,0,0.9996952148735142,0.00030478512648582747,0.0,True,2611.0,28.828928402316265,0.7903673541215441,2611,0,0.0,,0.30901699437494745,0.47406836728531904,
4,25,36.135239930596,36.06428420504942,1.0,24.7660229,2.0,78.11499035644592,20.519993420804038,2982,0.04529773112537718,2982,0,0,1.0,0.0,0.0,True,3119.0,31.508864387775752,0.8728274809284955,3119,0,0.0,,0.30901699437494745,,
5,13,35.60232913625126,36.81546647695357,1.0,24.7660229,2.0,63.66342133547727,76.68314253213649,2790,0.04238117700865269,2724,66,0,0.9763440860215054,0.023655913978494623,0.0,True,2082.0,25.74337163299812,0.7109681098413335,2082,0,0.0,,0.2989350844248255,0.4142135623730951,
5,15,35.60232913625126,34.05805499768632,1.0,24.7660229,2.0,63.00047504716795,77.01942046663578,2711,0.041181136512708764,2710,1,0,0.99963113242346,0.00036886757654002215,0.0,True,1737.0,23.513916566604646,0.6751015475709669,1737,0,0.0,,0.3090169943749474,0.43405783005789966,
2,10,36.543443362447874,34.680313399356834,7.324233081729782,181.39212422705734,8.324233081729782,51.03254172217728,71.63398747608974,6042,0.09178031236067367,3796,2246,0,0.6282687851704734,0.37173121482952665,0.0,True,905.0,16.97263818610208,0.4766004759581575,905,0,0.0,,0.18740992571549211,0.3723395934574297,
2,12,36.543443362447874,36.02520669833284,2.1462643699419726,53.15443253543696,3.1462643699419726,54.97746776379565,63.53717459147491,4135,0.0628122462117487,4119,16,0,0.9961305925030229,0.0038694074969770256,0.0,True,2029.0,25.41359398170419,0.7004014532561579,2029,0,0.0,,0.28989794855663564,0.4205165124818445,
2,29,36.543443362447874,35.923749049563185,8.917213725368399,220.84391932666807,9.917213725368399,75.20629993660046,12.398371442832874,8897,0.1351488644609258,8298,599,0,0.9326739350342812,0.06732606496571879,0.0,True,2149.0,26.15431026444716,0.7218248532590376,2149,0,0.0,,0.2612038749637415,0.3644265116920959,
3,5,37.02104262251227,35.60232913625126,2.6502815398728847,65.63693330793913,3.6502815398728847,47.73823879418687,79.55014551269008,1099,0.016694234241042764,756,343,0,0.6878980891719745,0.31210191082802546,0.0,True,1497.0,21.829106706806275,0.6011592736100727,1497,0,0.0,,0.23582845781094003,0.375,
5,26,35.60232913625126,36.34777761125147,1.0,24.7660229,2.0,81.4753135108699,43.39295611106793,2965,0.045039494562958866,2964,1,0,0.9996627318718381,0.0003372681281618887,0.0,True,2627.0,28.917124182823198,0.8038104594980845,2627,0,0.0,,0.30484544052339907,0.43405783005789966,
5,27,35.60232913625126,37.70081696827933,1.7320508075688772,42.89600996421431,2.732050807568877,81.73908068842962,46.82516074626396,3611,0.05485248393485479,3393,218,0,0.9396289116588202,0.06037108834117973,0.0,True,2045.0,25.513598672979317,0.6961119686894972,2045,0,0.0,,0.28989794855663564,0.40149162409079436,
5,28,35.60232913625126,35.448921099236735,3.1815405503520555,78.79410612729761,4.1815405503520555,81.96586160910856,43.45238099229994,4801,0.07292904330413677,4386,415,0,0.9135596750676942,0.08644032493230577,0.0,True,2157.0,26.202946866687277,0.7375787696864391,2157,0,0.0,,0.2702497081968528,0.40269974784927715,
6,12,35.83182066586484,36.02520669833284,1.0,24.7660229,2.0,62.79264271483821,75.9761809484779,2696,0.04095328072233966,2693,3,0,0.9988872403560831,0.001112759643916914,0.0,True,1599.0,22.560529869838636,0.6279282819617245,1648,0,0.0,,0.3090169943749474,0.39564392373896,
9,28,34.84638340114924,35.448921099236735,1.0,24.7660229,2.0,86.30746834740219,49.21217286987503,2950,0.044811638772589764,2937,13,0,0.995593220338983,0.004406779661016949,0.0,True,2631.0,28.939131129830994,0.823358866869183,2631,0,0.0,,0.3090169943749474,0.44579905519622387,
9,31,34.84638340114924,36.6740140256537,1.0,24.7660229,2.0,92.64536588193369,35.0371587561465,3152,0.04788009674956032,3152,0,0,1.0,0.0,0.0,True,2371.0,27.47203560244067,0.768229388841323,2372,0,0.0,,0.3090169943749474,,
10,12,34.680313399356834,36.02520669833284,1.0,24.7660229,2.0,67.9964147262416,83.51883745532952,3023,0.04592053695238605,3021,2,0,0.9993384055573933,0.0006615944426066821,0.0,True,2479.0,28.090749506725825,0.794584339890704,2480,0,0.0,,0.3090169943749474,0.4509526540072415,
10,14,34.680313399356834,35.3805234649262,1.0,24.7660229,2.0,66.17338928937818,86.51268833123217,3163,0.04804719099583099,3163,0,0,1.0,0.0,0.0,True,1795.0,23.903268514994018,0.6823574934252573,1795,0,0.0,,0.31451985913875646,,
6,21,35.83182066586484,36.59943144756618,1.0,24.7660229,2.0,75.46230774516042,51.466069714660854,3262,0.049551039212267056,3258,4,0,0.9987737584304108,0.001226241569589209,0.0,True,2503.0,28.226399790232335,0.779398366495953,2516,0,0.0,,0.30484544052339907,0.436403720705399,
6,22,35.83182066586484,38.05611201704958,1.0,24.7660229,2.0,77.19100081917203,50.822974781704644,3146,0.047788954433412675,3125,21,0,0.9933248569612206,0.006675143038779402,0.0,True,1691.0,23.200474511026496,0.6279908956335244,1691,0,0.0,,0.3090169943749474,0.42705098312484235,
6,30,35.83182066586484,35.215871390826536,1.0,24.7660229,2.0,85.55607350179673,23.730707185655362,2972,0.04514582726513111,2972,0,0,1.0,0.0,0.0,True,1808.0,23.98967015655475,0.6753117367250319,1818,0,0.0,,0.3090169943749474,,
7,15,37.79714850630373,34.05805499768632,1.0,24.7660229,2.0,65.91988584050337,82.09235141506456,3129,0.04753071787099436,3127,2,0,0.9993608181527645,0.0006391818472355385,0.0,True,2240.0,26.702324712498182,0.7432259157408253,2240,0,0.0,,0.3090169943749474,0.43619498918585614,
7,38,37.79714850630373,36.72529848689627,6.164414002968976,152.66801836261033,7.164414002968976,100.66812348065051,13.105993697405152,6093,0.09255502204792862,6074,19,0,0.9968816674872805,0.003118332512719514,0.0,True,2036.0,25.45739437315213,0.6832141294414302,2036,0,0.0,,0.27013511384464434,0.2930754400536453,
8,14,35.70056238611542,35.3805234649262,1.0,24.7660229,2.0,65.20938286391686,84.88555719888886,3027,0.04598129849648448,3016,11,0,0.9963660389824909,0.003633961017509085,0.0,True,1922.0,24.734421384888826,0.6959494523401788,1922,0,0.0,,0.31339216579491175,0.4211646096066227,
8,16,35.70056238611542,35.20046451734637,1.0,24.7660229,2.0,66.31999197546068,83.28194947676113,2728,0.04143937307512708,2727,1,0,0.999633431085044,0.00036656891495601173,0.0,True,1812.0,24.016192740836935,0.6774568377842304,1812,0,0.0,,0.3090169943749474,0.5,
8,23,35.70056238611542,34.777303502837576,1.0,24.7660229,2.0,81.10263741057291,57.74169279986095,2997,0.04552558691574628,2997,0,0,1.0,0.0,0.0,True,2693.0,29.278123633405,0.8308459191864995,2693,0,0.0,,0.3090169943749474,,
8,29,35.70056238611542,35.923749049563185,1.0,24.7660229,2.0,87.26124047358509,46.62003951864755,2900,0.04405211947135943,2900,0,0,1.0,0.0,0.0,True,3294.0,32.380746827233715,0.9041831238074205,3294,0,0.0,,0.3090169943749474,,
9,11,34.84638340114924,35.21895114827992,1.0,24.7660229,2.0,66.33775948708617,85.75737962045933,2617,0.03975324022639573,2591,26,0,0.9900649598777226,0.009935040122277417,0.0,True,2030.0,25.41985580118611,0.7256043509862384,2055,0,0.0,,0.30383243470068705,0.42857142857142855,
9,13,34.84638340114924,36.81546647695357,4.65685424949238,115.33175898489058,5.65685424949238,68.0050280737709,83.64878520882127,5154,0.07829124957082292,5065,89,0,0.9827318587504851,0.01726814124951494,0.0,True,2361.0,27.414040951306866,0.7650944260562155,2361,0,0.0,,0.2742918851774317,0.4364916731037084,
9,25,34.84638340114924,36.06428420504942,1.0,24.7660229,2.0,87.59810902248442,48.95949599834711,2695,0.040938090336315056,2686,9,0,0.9966604823747681,0.003339517625231911,0.0,True,2125.0,26.007854739300495,0.7335385666860375,2125,0,0.0,,0.3090169943749474,0.43405783005789966,
10,33,34.680313399356834,36.647310657420235,1.0,24.7660229,2.0,95.33805487028678,26.566836814424597,3103,0.04713576783435459,3103,0,0,1.0,0.0,0.0,True,2365.0,27.43725352189364,0.769330364910332,2366,0,0.0,,0.30901699437494745,,
11,18,35.21895114827992,35.61513200565522,1.0,24.7660229,2.0,73.6040444930423,82.40985785166552,3075,0.0467104370256656,3075,0,0,1.0,0.0,0.0,True,2838.0,30.05600533985842,0.848631167415306,2838,0,0.0,,0.3090169943749474,,
11,25,35.21895114827992,36.06428420504942,1.7320508075688772,42.89600996421431,2.732050807568877,90.26209283816459,54.81768835334265,3549,0.053910680001329175,3549,0,0,1.0,0.0,0.0,True,3093.0,31.377260523609525,0.8803545565260045,3099,0,0.0,,0.29339977411634566,,
11,31,35.21895114827992,36.6740140256537,1.8284271247461903,45.2828680424453,2.8284271247461903,95.30934969761385,44.52347299391622,3734,0.05672090141588142,3734,0,0,1.0,0.0,0.0,True,2411.0,27.70280013986166,0.7706678970004682,2411,0,0.0,,0.28989794855663564,,
7,20,37.79714850630373,36.483756226930446,1.414213562373095,35.02444547122265,2.414213562373095,77.14487668355954,63.67098910328582,3977,0.06041216521986084,3707,270,0,0.9321096303746542,0.06789036962534574,0.0,True,2219.0,26.57686282166937,0.7155772514380419,2219,0,0.0,,0.28330039409901914,0.40269974784927715,
7,21,37.79714850630373,36.59943144756618,1.0,24.7660229,2.0,79.05502730499697,59.87389430267206,3475,0.05278659143550828,3475,0,0,1.0,0.0,0.0,True,2196.0,26.438769072322643,0.7107522708360028,2196,0,0.0,,0.3090169943749474,,
7,22,37.79714850630373,38.05611201704958,6.5630027024141775,162.5394752207514,7.5630027024141775,80.7837203790086,62.872293607879996,7081,0.10756312344024004,7055,26,0,0.9963282022313232,0.0036717977686767404,0.0,True,1685.0,23.159278015941847,0.61063368551736,1685,0,0.0,,0.27195617308673,0.31184302217838233,
7,27,37.79714850630373,37.70081696827933,1.8284271247461903,45.2828680424453,2.8284271247461903,84.65849148176505,51.606089399697574,3995,0.06068559216830376,3984,11,0,0.9972465581977472,0.002753441802252816,0.0,True,2226.0,26.61874915628302,0.7051514299479876,2226,0,0.0,,0.28436465220442186,0.3613020955135854,
12,30,36.02520669833284,35.215871390826536,1.0,24.7660229,2.0,94.70477155481848,48.49296725973644,3151,0.04786490636353571,3151,0,0,1.0,0.0,0.0,True,1965.0,25.00957669276209,0.702111123626237,1976,0,0.0,,0.30901699437494745,,
12,37,36.02520669833284,38.315664100702755,1.0,24.7660229,2.0,108.6224191520893,14.16829505116044,4198,0.06376924053129893,4153,45,0,0.9892806098141972,0.010719390185802763,0.0,True,2483.0,28.11340334065501,0.756337746342883,2483,0,0.0,,0.30216947925196225,0.4,
13,17,36.81546647695357,34.20648402638126,1.0,24.7660229,2.0,71.00453543293352,87.95122855263423,3106,0.04718133899242841,3059,47,0,0.98486799742434,0.015132002575660013,0.0,True,2524.0,28.34456125481373,0.7981915746874007,2524,0,0.0,,0.30901699437494745,0.4641016151377545,
13,26,36.81546647695357,36.34777761125147,1.0,24.7660229,2.0,90.14817265152843,61.79613384844482,2829,0.04297360206361235,2825,4,0,0.9985860728172499,0.0014139271827500884,0.0,True,3323.0,32.522972677612614,0.8890522306092161,3323,0,0.0,,0.3090169943749474,0.4588942731784419,
16,18,35.20046451734637,35.61513200565522,1.0,24.7660229,2.0,74.36142690026952,83.76189060333934,2802,0.04256346164094797,2802,0,0,1.0,0.0,0.0,True,2835.0,30.040115301560455,0.8484039329331395,2845,0,0.0,,0.3090169943749474,,
16,23,35.20046451734637,34.777303502837576,1.0,24.7660229,2.0,85.299153552333,64.79468036958944,2747,0.0417279904095946,2671,76,0,0.9723334546778304,0.02766654532216964,0.0,True,2869.0,30.219713159811683,0.8636946851775924,2897,0,0.0,,0.30484544052339907,0.4211646096066227,
16,32,35.20046451734637,36.6602231295752,1.0,24.7660229,2.0,97.5917480963945,41.465446109558286,3065,0.04655853316541953,3065,0,0,1.0,0.0,0.0,True,3268.0,32.252700786889584,0.8976452033233848,3268,0,0.0,,0.3090169943749474,,
16,34,35.20046451734637,36.95572368920511,1.0,24.7660229,2.0,99.77457038581673,34.30539142397826,3195,0.04853328334861841,3195,0,0,1.0,0.0,0.0,True,3177.0,31.800479688298775,0.8814345790348007,3181,0,0.0,,0.3090169943749474,,
15,24,34.05805499768632,35.37530984366969,1.0,24.7660229,2.0,86.53758822481063,62.96524533479996,2855,0.04336855210025213,2846,9,0,0.9968476357267951,0.0031523642732049035,0.0,True,2075.0,25.700058634784586,0.7402797975729696,2075,0,0.0,,0.30901699437494745,0.42857142857142855,
15,26,34.05805499768632,36.34777761125147,2.1462643699419726,53.15443253543696,3.1462643699419726,89.48522636321911,59.041197619091676,3699,0.05618923790502018,3688,11,0,0.9970262233035956,0.0029737766964044337,0.0,True,2074.0,25.69386510327284,0.7298788793816803,2074,0,0.0,,0.2913520216264116,0.44499443206436484,
15,27,34.05805499768632,37.70081696827933,1.0,24.7660229,2.0,89.74899354077886,57.673438292315815,3025,0.04595091772443527,3005,20,0,0.9933884297520661,0.006611570247933884,0.0,True,2079.0,25.724817849230746,0.7169794380667441,2079,0,0.0,,0.3090169943749474,0.4325315508375685,
15,40,34.05805499768632,36.64393295954381,4.0,99.0640916,5.0,107.70266808952996,5.508092513390718,5330,0.08096475751115371,5300,30,0,0.9943714821763602,0.005628517823639775,0.0,True,1747.0,23.581504853657716,0.6670676606129636,1747,0,0.0,,0.27792629762666365,0.4189796981099955,
13,36,36.81546647695357,36.653175705928675,1.0,24.7660229,2.0,102.79420440825757,34.64596813904369,3363,0.05108526820075233,3363,0,0,1.0,0.0,0.0,True,4834.0,39.22639404549498,1.0678404521986524,4834,0,0.0,,0.3090169943749474,,
14,32,35.3805234649262,36.6602231295752,1.0,24.7660229,2.0,96.48113898485067,36.13281838098305,3486,0.05295368568177895,3486,0,0,1.0,0.0,0.0,True,2636.0,28.96661630188228,0.804173128991231,2636,0,0.0,,0.30901699437494745,,
14,33,35.3805234649262,36.647310657420235,1.0,24.7660229,2.0,97.45995547504172,33.72579855163993,3293,0.05002194117902986,3293,0,0,1.0,0.0,0.0,True,2108.0,25.903614421069328,0.719266787255312,2108,0,0.0,,0.30901699437494745,,
15,19,34.05805499768632,37.15231950040035,1.0,24.7660229,2.0,78.93367360116497,77.16617083071354,2799,0.04251789048287415,2738,61,0,0.9782065023222579,0.021793497677742052,0.0,True,1566.0,22.326515217646847,0.6270579357294835,1568,0,0.0,,0.3090169943749474,0.4068781988545112,
17,19,34.20648402638126,37.15231950040035,2.863703305156273,70.92254163430594,3.863703305156273,78.264874846272,77.10997339548558,4264,0.06477180600892296,4264,0,0,1.0,0.0,0.0,True,2060.0,25.60699837034026,0.7176969653290142,2080,0,0.0,,0.28172904669025317,,
17,26,34.20648402638126,36.34777761125147,1.0,24.7660229,2.0,88.81642760832615,55.61325974006983,3329,0.050568795075915704,3298,31,0,0.9906878942625413,0.009312105737458696,0.0,True,2429.0,27.806019376034886,0.7882165791443423,2430,0,0.0,,0.3090169943749474,0.4270509831248423,
17,39,34.20648402638126,35.20348275871205,6.0,148.5961374,7.0,106.41825516367462,11.711505645892203,5219,0.07927862466242236,5209,10,0,0.9980839241233953,0.0019160758766047135,0.0,True,2302.0,27.069343508757026,0.7799843383463633,2302,0,0.0,,0.2708131845707603,0.39652377080295825,
18,31,35.61513200565522,36.6740140256537,9.392304845413264,232.61003688528587,10.392304845413264,99.91165088788983,57.942814332171245,8890,0.13504253175875355,8632,258,0,0.9709786276715411,0.029021372328458944,0.0,True,2415.0,27.725770956528052,0.7670797755591091,2415,0,0.0,,0.2656344619433038,0.3102909209903971,
18,34,35.61513200565522,36.95572368920511,1.0,24.7660229,2.0,103.61948916886547,44.446757906288184,3067,0.04658891393746875,3067,0,0,1.0,0.0,0.0,True,2870.0,30.224979294409437,0.8329784458239495,2870,0,0.0,,0.3090169943749474,,
