Label	Zpos	Ypos	Xpos	Zdisp	Ydisp	Xdisp	Fzz	Fzy	Fzx	Fyz	Fyy	Fyx	Fxz	Fxy	Fxx	PSCC	error	iterations	returnStatus	deltaPhiNorm	LabelDilate
0.0000000	0.0000000	0.0000000	0.0000000	2.8544658	-28.8163035	2.5999353	0.9971202	0.0000000	0.0000000	0.0000000	1.0377351	0.0000000	0.0000000	0.0000000	1.0377351	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
1.0000000	871.0848389	302.9614563	361.8708191	-42.6402292	-18.2432349	0.4845290	0.9964574	-0.0402410	-0.0738459	0.0187156	0.9621780	-0.2717778	0.0819895	0.2694330	0.9595226	0.0000000	244.2785187	19.0000000	2.0000000	0.0009344	2.0000000
2.0000000	989.7362671	428.0389709	181.9141541	19.8003536	-11.0968256	22.5732393	0.8855568	0.0615595	-0.4604342	-0.0099772	0.9934723	0.1136368	0.4644240	-0.0960379	0.8803903	0.0000000	89.0556488	100.0000000	2.0000000	0.0009902	2.0000000
3.0000000	810.7650757	258.5420532	195.9827118	15.9778328	-22.7074891	25.8221090	0.8750384	0.4716426	0.1089081	-0.0505847	-0.1346610	0.9895997	0.4814031	-0.8714469	-0.0939757	0.0000000	140.1748657	300.0000000	1.0000000	0.0100192	2.0000000
4.0000000	691.8450928	450.4333191	401.0382996	-25.9231486	-27.7190627	16.5570920	0.9807442	-0.1872816	0.0553749	0.1826490	0.9799656	0.0794158	-0.0691387	-0.0677724	0.9953023	0.0000000	106.9245758	23.0000000	2.0000000	0.0009939	2.0000000
5.0000000	495.9337769	505.8892822	322.4255981	-8.0682767	10.4032319	-13.0106954	0.9185434	0.3952981	-0.0041903	-0.1566875	0.3737812	0.9141863	0.3629423	-0.8390632	0.4052725	0.0000000	105.5859375	300.0000000	1.0000000	0.0045731	2.0000000
6.0000000	535.9327393	315.3347168	448.6225281	10.6352572	-8.2464200	-2.3066288	0.9952056	0.0157482	-0.0965289	-0.0250479	0.9950758	-0.0959001	0.0945433	0.0978581	0.9906994	0.0000000	90.3064423	42.0000000	2.0000000	0.0009944	2.0000000
7.0000000	648.3708496	357.3047485	171.4799652	20.4195537	3.9266169	7.5067375	0.9812628	-0.1379262	-0.1345353	0.0971885	0.9572356	-0.2724965	0.1663664	0.2543154	0.9527045	0.0000000	107.3730698	33.0000000	2.0000000	0.0009685	2.0000000
8.0000000	870.0359497	372.6947327	173.3382416	25.1609590	-22.7453755	-6.1248381	0.9573599	0.1096161	-0.2672945	-0.2817150	0.5592511	-0.7796633	0.0640211	0.8217193	0.5662850	0.0000000	146.7705231	300.0000000	1.0000000	0.0040933	2.0000000
9.0000000	529.9539795	277.8630066	195.2624969	17.2931279	-31.2821591	-11.0650887	0.7420294	0.6061718	0.2862657	-0.6619398	0.7300351	0.1699543	-0.1059625	-0.3156018	0.9429568	0.0000000	133.0148010	128.0000000	2.0000000	0.0009851	2.0000000
10.0000000	421.8298645	247.4781036	257.5927734	22.9322290	-49.4841595	5.1694338	0.5156266	0.5755810	-0.6346934	0.7174972	0.1148293	0.6870313	0.4683235	-0.8096424	-0.3537687	0.0000000	147.7605743	300.0000000	1.0000000	0.0079196	2.0000000
11.0000000	757.1076050	230.1535187	144.0815887	23.5931679	-2.2837631	-9.2323329	0.5949917	0.1565254	0.7883430	-0.2086927	0.9772986	-0.0365345	-0.7761651	-0.1427837	0.6141502	0.0000000	158.7608643	83.0000000	2.0000000	0.0009991	2.0000000
12.0000000	805.5361938	438.3466797	405.4388428	-19.0445652	-1.9967859	-2.1286265	0.5514656	0.8164982	0.1709280	-0.8320761	0.5237879	0.1824709	0.0594571	-0.2428515	0.9682396	0.0000000	40.2288246	300.0000000	1.0000000	0.0032722	2.0000000
13.0000000	356.3735962	485.1632690	388.5523987	27.8420570	-2.2534199	22.8614556	-0.3798624	-0.4044130	-0.8319584	-0.9038135	0.3538325	0.2406734	0.1970425	0.8433580	-0.4999216	0.0000000	224.4156036	191.0000000	2.0000000	0.0009894	2.0000000
14.0000000	841.6973267	447.1735535	231.7543335	29.0125516	-30.0645731	-24.0312545	-0.8484032	0.5205650	0.0960417	0.4799787	0.8330183	-0.2751379	-0.2232317	-0.1873299	-0.9565956	0.0000000	197.8013763	300.0000000	1.0000000	0.0202551	2.0000000
15.0000000	573.3460693	504.0007324	327.7189026	16.6995205	-9.7977014	-5.8783441	0.9985127	0.0381104	-0.0389880	-0.0388647	0.9990681	-0.0187748	0.0382361	0.0202622	0.9990633	0.0000000	42.4750557	26.0000000	2.0000000	0.0009958	2.0000000
16.0000000	369.3052673	179.6506958	311.5162964	53.0266850	-60.8797566	50.2388780	0.9770821	-0.0400895	-0.2090535	-0.0281242	0.9491817	-0.3134694	0.2109966	0.3121648	0.9263010	0.0000000	1055.3597412	300.0000000	1.0000000	0.0688525	2.0000000
17.0000000	1036.3378906	460.3756714	374.1272888	21.1707497	-19.5763493	21.4644403	0.8150849	0.0352348	-0.5782691	-0.0322932	0.9993602	0.0153743	0.5784408	0.0061428	0.8157012	0.0000000	56.7053070	300.0000000	1.0000000	0.0032654	2.0000000
18.0000000	762.3107910	243.1211395	407.4421082	28.3280677	14.5793455	19.3467208	0.9881217	-0.1511545	0.0277082	0.1428743	0.9700252	0.1965659	-0.0565894	-0.1902722	0.9800990	0.0000000	164.7839813	135.0000000	2.0000000	0.0009791	2.0000000
19.0000000	472.4011841	239.3133545	322.4495239	7.2705255	-9.7486060	41.2337211	-0.7113461	-0.6824812	-0.1679471	-0.6710742	0.5884903	0.4509308	-0.2089165	0.4334728	-0.8766158	0.0000000	372.0435181	300.0000000	1.0000000	0.0200200	2.0000000
20.0000000	756.1104126	194.7907410	350.9825745	10.9862254	1.0151396	-1.3048461	0.9764272	-0.1278744	-0.1738909	0.1342413	0.9906254	0.0253100	0.1690242	-0.0480567	0.9844396	0.0000000	449.4424438	300.0000000	1.0000000	0.0030338	2.0000000
21.0000000	618.1403198	418.2977295	124.5051804	26.8889233	8.7296635	12.1094128	0.8777956	-0.3076469	-0.3671896	0.1248158	0.8869283	-0.4447238	0.4624887	0.3445455	0.8169410	0.0000000	93.1813126	300.0000000	1.0000000	0.0018379	2.0000000
22.0000000	424.9886169	498.8550720	347.6317749	-21.0342502	13.0349035	-21.6928842	0.7263824	-0.6735146	0.1369188	0.6811726	0.7320083	-0.0129531	-0.0915016	0.1026742	0.9904976	0.0000000	153.9839172	20.0000000	2.0000000	0.0009163	2.0000000
23.0000000	455.4070129	313.3362427	322.8958435	-6.4999523	20.8786043	2.4146085	0.8231869	-0.1451672	-0.5488987	0.2403972	0.9649433	0.1053267	0.5143661	-0.2186572	0.8292265	0.0000000	181.6628723	32.0000000	2.0000000	0.0009611	2.0000000
