Label	Zpos	Ypos	Xpos	Zdisp	Ydisp	Xdisp	Fzz	Fzy	Fzx	Fyz	Fyy	Fyx	Fxz	Fxy	Fxx	PSCC	error	iterations	returnStatus	deltaPhiNorm	LabelDilate
0.0000000	0.0000000	0.0000000	0.0000000	10.3141685	-8.7532712	-13.7713238	0.9799322	0.0000000	0.0000000	0.0000000	0.9955089	0.0000000	0.0000000	0.0000000	0.9955089	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
1.0000000	333.4993591	257.5671997	362.2566528	-37.4933418	-6.9941625	-35.0474683	0.9974862	0.0183777	0.0684357	0.0038194	0.9504349	-0.3109000	-0.0707573	0.3103799	0.9479756	0.0000000	1614.7491455	300.0000000	1.0000000	0.2202625	2.0000000
2.0000000	988.6759644	456.3663635	245.1580353	-24.2080199	-15.7075205	7.2701588	0.6869348	0.0325105	-0.7259915	0.2099433	0.9475254	0.2410797	0.6957330	-0.3180231	0.6440628	0.0000000	817.8569946	75.0000000	2.0000000	0.0009768	2.0000000
3.0000000	867.1838379	273.1612854	362.5903320	3.8830197	29.4454610	-0.7794243	0.9993069	0.0358912	0.0098791	-0.0372199	0.9585405	0.2825150	0.0006703	-0.2826869	0.9592120	0.0000000	301.7642212	26.0000000	2.0000000	0.0009884	2.0000000
4.0000000	808.5504761	296.0197754	191.8814087	2.2334044	-37.1969685	4.2339227	0.9998947	-0.0115626	0.0087674	0.0073055	0.9231721	0.3843174	-0.0125375	-0.3842129	0.9231594	0.0000000	135.4812317	9.0000000	2.0000000	0.0006508	2.0000000
5.0000000	212.1077728	310.5763245	333.9368286	21.0367906	6.9445876	2.2721490	0.9665898	-0.2393500	0.0917374	0.1878706	0.9049922	0.3816984	-0.1743812	-0.3517110	0.9197231	0.0000000	177.2700348	13.0000000	2.0000000	0.0009930	2.0000000
6.0000000	493.0672302	478.5460815	400.5979919	26.3845063	-4.1868226	-14.6442441	0.9698212	0.1467923	-0.1946764	0.0369766	0.7006654	0.7125312	0.2409971	-0.6982263	0.6740923	0.0000000	639.3350830	99.0000000	2.0000000	0.0009992	2.0000000
7.0000000	531.2520142	254.2140656	444.4772339	19.6344839	-6.4088124	-24.7685988	0.8813663	-0.3902221	-0.2663083	0.3997561	0.9164078	-0.0197931	0.2517707	-0.0890134	0.9636847	0.0000000	284.7225952	14.0000000	2.0000000	0.0008879	2.0000000
8.0000000	755.3117676	290.1202698	132.6451569	-12.6417957	1.1558339	22.5652540	0.7493043	-0.3831920	-0.5400990	-0.2152213	0.6303957	-0.7458425	0.6262770	0.6751039	0.3898871	0.0000000	1360.2563477	300.0000000	1.0000000	0.0125479	2.0000000
9.0000000	282.5144958	369.6977844	461.8385925	-12.3106782	-4.8240447	-6.2291850	0.0008928	0.6153757	0.7882335	-0.8217169	0.4496623	-0.3501216	-0.5698952	-0.6473922	0.5060661	0.0000000	1587.2556152	300.0000000	1.0000000	0.0132011	2.0000000
