bead_a,bead_b,r_a_vox,r_b_vox,gap_vox,gap_um,dsum_min,z_mid,axis_dip_deg,lens_vox,lens_mm3,binder_vox,pore_vox,crack_vox,binder_frac,pore_frac,crack_frac,connected,bond_area_vox,r_bond_vox,r_bond_over_R,neck_binder_vox,neck_crack_vox,neck_severed,q_crack_med,q_binder_med,q_pore_med,dq_paired,cls
34,2094,23.666460967479463,18.72514644113198,5.513233075965879,136.54085661240842,6.513233075965879,1106.028646341991,87.26620697224139,1578,0.0239704291468293,1576,2,0,0.9987325728770596,0.0012674271229404,0.0,True,634.0,14.20593072771099,0.6702237351266463,634,0,0.0,,0.2801868778094689,0.2974785734202667,,intact
34,2271,23.666460967479463,18.341739082819966,1.0,24.7660229,2.0,1117.8205606514157,52.20020427586771,759,0.0115295029926764,758,1,0,0.9986824769433466,0.0013175230566534,0.0,True,1016.0,17.983404693292407,0.8561854434019827,1016,0,0.0,,0.3333333333333333,0.4,,intact
34,55,23.666460967479463,17.703093840519077,8.00692826708518,198.2997688212889,9.00692826708518,1121.130700650418,50.25747058525922,1799,0.0273275044582674,1387,412,0,0.7709838799332963,0.2290161200667037,0.0,True,595.0,13.762063154896342,0.6653232416335084,599,0,0.0,,0.2372732414640341,0.380665477567095,,intact
37,932,23.50351605908068,19.067015786571304,1.0,24.7660229,2.0,852.4682043531549,67.0284634777837,631,0.0095851335815268,613,18,0,0.971473851030111,0.028526148969889,0.0,True,832.0,16.273715780512877,0.7645530875449948,836,248,0.2287822878228782,,0.3090169943749474,0.4071067811865475,,intact
37,934,23.50351605908068,19.302039683611508,1.0,24.7660229,2.0,846.293925968509,45.40585539806387,879,0.0133523493156292,864,15,0,0.9829351535836176,0.0170648464163822,0.0,True,925.0,17.159156293944243,0.8017256637007298,925,0,0.0,,0.3203772410170408,0.4270509831248423,,intact
37,1089,23.50351605908068,19.0562841681182,1.0,24.7660229,2.0,881.7623431748706,14.056524293327971,810,0.0123042126799314,810,0,0,1.0,0.0,0.0,True,1006.0,17.89468483938439,0.8409195881492111,1009,171,0.1449152542372881,,0.3333333333333333,,,intact
37,1139,23.50351605908068,19.11853435221004,1.0,24.7660229,2.0,865.668441204198,78.21392550157086,780,0.0118485010991932,778,1,1,0.9974358974358974,0.0012820512820512,0.0012820512820512,True,858.0,16.526036498377113,0.7754688636002041,867,377,0.3030546623794212,0.4270509831248423,0.3203772410170408,0.5,0.1066737421078015,intact
34,62,23.666460967479463,19.90880247719839,2.0,49.5320458,3.0,1111.6182040129331,73.08411377263218,1253,0.0190335536888321,1253,0,0,1.0,0.0,0.0,True,875.0,16.688952945311364,0.7659828823065761,880,0,0.0,,0.3021694792519622,,,intact
34,215,23.666460967479463,19.556475813019365,1.0,24.7660229,2.0,1101.513628211284,81.53245217123211,624,0.0094788008793545,617,7,0,0.9887820512820512,0.0112179487179487,0.0,True,1047.0,18.255696394123916,0.8447226289519714,1047,0,0.0,,0.3090169943749474,0.4270509831248423,,intact
34,304,23.666460967479463,19.380323386383303,1.0,24.7660229,2.0,1125.879164269744,11.972468500099664,807,0.0122586415218576,799,8,0,0.990086741016109,0.0099132589838909,0.0,True,956.0,17.44431859350499,0.8104818445951879,965,0,0.0,,0.3333333333333333,0.4608128488913787,,intact
34,516,23.666460967479463,19.337005292030884,1.0,24.7660229,2.0,1083.8278094938878,8.188813665607903,882,0.0133979204737031,881,1,0,0.9988662131519276,0.0011337868480725,0.0,True,1090.0,18.626802622574058,0.8662930801981426,1090,0,0.0,,0.3333333333333333,0.4494897427831781,,intact
37,86,23.50351605908068,19.76746286547719,3.685557720282968,91.27660689979976,4.685557720282968,859.2302995904838,85.35531403685886,993,0.0150840533224344,953,40,0,0.959718026183283,0.040281973816717,0.0,True,720.0,15.13879513212096,0.6997204827981898,725,0,0.0,,0.2857142857142857,0.4075925878904119,,intact
37,101,23.50351605908068,19.56895203701779,5.422466567392307,134.29293118252227,6.422466567392307,874.7902037114451,56.86109398151892,1635,0.0248362811502319,1548,87,0,0.946788990825688,0.0532110091743119,0.0,True,659.0,14.48330815094114,0.6725088573344625,659,0,0.0,,0.2766967754673748,0.3190428972593295,,intact
37,177,23.50351605908068,19.579129165013907,1.8284271247461903,45.2828680424453,2.8284271247461903,875.1929048153725,52.76992590204405,780,0.0118485010991932,744,36,0,0.953846153846154,0.0461538461538461,0.0,True,737.0,15.316474337048122,0.7110275730461492,737,23,0.0302631578947368,,0.2958163163244892,0.4270509831248423,,intact
37,300,23.50351605908068,19.399584346901477,1.8284271247461903,45.2828680424453,2.8284271247461903,862.2597388353821,87.35179096787431,778,0.011818120327144,756,22,0,0.9717223650385604,0.0282776349614395,0.0,True,781.0,15.767054928221077,0.7350077164130828,781,0,0.0,,0.2989350844248255,0.4206322727489687,,intact
34,637,23.666460967479463,19.342324319787444,8.281885242839627,205.10935957933825,9.281885242839628,1087.7518038677213,49.88381496021008,1732,0.0263097485946188,1702,30,0,0.9826789838337182,0.0173210161662817,0.0,True,431.0,11.71288013023329,0.5446738405653591,431,0,0.0,,0.2779262976266636,0.2130176316061056,,intact
34,875,23.666460967479463,19.161761089557373,1.0,24.7660229,2.0,1090.9882406335666,51.07689458445344,819,0.0124409261541528,819,0,0,1.0,0.0,0.0,True,859.0,16.5356642513047,0.7721854168628897,859,0,0.0,,0.3203772410170408,,,intact
34,1214,23.666460967479463,18.970213835754773,5.414213562373095,134.08853707122265,6.414213562373095,1092.3322840718083,59.35132674867274,1457,0.0221323924378519,1385,72,0,0.9505833905284832,0.0494166094715168,0.0,True,625.0,14.104739588693908,0.6616247469478544,627,0,0.0,,0.2771863727725964,0.3660254037844386,,intact
