bead_a,bead_b,r_a_vox,r_b_vox,gap_vox,gap_um,dsum_min,z_mid,axis_dip_deg,lens_vox,lens_mm3,binder_vox,pore_vox,crack_vox,binder_frac,pore_frac,crack_frac,connected,bond_area_vox,r_bond_vox,r_bond_over_R,neck_binder_vox,neck_crack_vox,neck_severed,q_crack_med,q_binder_med,q_pore_med,dq_paired
4,10,32.6302432937921,33.37700866486862,18.027756377319946,446.4758272763268,19.027756377319946,71.5209382502815,44.12905982338679,130,0.001974750183198871,130,0,0,1.0,0.0,0.0,True,398.0,11.255546841497692,0.3410397041993768,408,0,0.0,,0.06973588536342025,,
9,39,32.032817108073615,35.71522898711664,10.0,247.660229,11.0,108.14090463327827,6.017637038737911,6485,0.09850965336957444,3300,3185,0,0.5088666152659984,0.49113338473400153,0.0,False,1676.0,23.09734550211416,0.6818601224206802,1795,0,0.0,,0.25477784062024067,0.3574704445205464,
11,16,35.50058335606696,35.091332069342556,1.0,24.7660229,2.0,128.40047089003218,87.83192498531767,2958,0.044933161860786615,2483,374,101,0.8394185260311021,0.12643678160919541,0.0341446923597025,True,1838.0,24.18788065965696,0.6852875577576564,2446,568,0.18845388188453882,0.42705098312484235,0.28172904669025317,0.407669683062202,0.14532193643458918
13,57,35.11270941990711,35.35361230790185,1.0,24.7660229,2.0,155.92303491441874,31.218879229103475,2826,0.04292803090553853,2637,123,66,0.9331210191082803,0.0435244161358811,0.02335456475583864,True,2117.0,25.958852614302597,0.7367733117835821,2192,705,0.2433551950293407,0.4211646096066227,0.30383243470068705,0.4211646096066227,0.11733217490593567
14,16,35.2703292748547,35.091332069342556,1.0,24.7660229,2.0,129.88461522275634,89.74129809032728,2657,0.04036085566738,2597,51,9,0.9774181407602559,0.01919458035378246,0.003387278885961611,True,4072.0,36.00219238519226,1.0233468538804298,4254,90,0.020718232044198894,0.43405783005789966,0.3090169943749474,0.43405783005789966,0.12504083568295227
14,48,35.2703292748547,34.753798511171915,1.0,24.7660229,2.0,151.48206268545715,52.882387036127554,2525,0.03835572471213192,2508,17,0,0.9932673267326733,0.006732673267326733,0.0,True,4073.0,36.00661281523964,1.0284058924736739,4073,134,0.03185167577846446,,0.3090169943749474,0.4211646096066227,
14,64,35.2703292748547,31.39633860779166,1.0,24.7660229,2.0,164.0147392472441,6.004927048012981,2374,0.036061976422416306,2246,128,0,0.9460825610783488,0.05391743892165122,0.0,True,2816.0,29.93928254807644,0.8981784600597916,2847,0,0.0,,0.29581631632448924,0.4241077963657325,
12,63,32.78474429199507,34.04542715074749,5.0,123.8301145,6.0,160.18466002972207,7.446087048573338,4256,0.06465028292072611,4237,19,0,0.9955357142857143,0.004464285714285714,0.0,True,2972.0,30.757389059187485,0.9204641674618235,3023,269,0.08171324422843257,,0.27792629762666365,0.3833180986057291,
13,15,35.11270941990711,34.750306263080205,1.0,24.7660229,2.0,126.93301115022791,87.95142736019756,2588,0.03931271903168214,2581,7,0,0.9972952086553323,0.002704791344667697,0.0,True,3752.0,34.558626896356614,0.9893253693247644,3752,12,0.003188097768331562,,0.30383243470068705,0.43405783005789966,
13,25,35.11270941990711,36.72730441177014,1.0,24.7660229,2.0,122.83468645511971,85.61010701415896,2626,0.039889953700617195,2596,26,4,0.9885757806549885,0.009900990099009901,0.0015232292460015233,True,2260.0,26.821266613927218,0.7466943610776591,2295,191,0.07683024939662107,0.4415184401122529,0.30383243470068705,0.430554406591371,0.13768600541156584
