id,stage,tau_ice,tau_ice_sd,phi_ice_cube,n_cubes_ok,n_cubes
A1,1,1.7615574902133524,0.032337883635108526,0.36702219645182294,3,3
A1,2,1.8183873967268493,0.0024654611219139255,0.3596611022949219,2,2
A1,3,1.7652280606129236,0.02231935927360673,0.3677680492401123,2,2
A2,1,1.9503160235782395,0.08793884757397949,0.3226199150085449,3,3
A2,2,1.948819157014525,0.0,0.3684568405151367,1,1
A3,1,1.8952933760665978,0.11018092264083455,0.3684045473734538,3,3
A3,2,2.010534385106059,0.038512673373788386,0.3727734088897705,2,2
A4,1,1.9199252435224519,0.0511231827811889,0.31824668248494464,3,3
A4,2,1.8644491171127766,0.0,0.3344416618347168,1,1
A4,3,2.105460503685823,0.15108823929222615,0.3318054676055908,2,2
G1,1,1.6085094715464947,0.031236376976096904,0.3986695607503255,3,3
G1,2,1.888062891540096,0.0,0.35813140869140625,1,1
G1,3,3.7366496782809695,2.0011796558270176,0.3179013729095459,2,2
G2,1,1.622171482444764,0.006054797520847255,0.4119300842285156,2,2
G2,2,1.8173795112971134,0.0501323646903965,0.4058680534362793,2,2
G3,1,1.609948494690587,0.01645619125900285,0.4111355145772298,3,3
G3,2,1.605188271758662,0.0032058052028933986,0.4157098134358724,3,3
G3,3,1.6198873547835433,0.027013300434283627,0.4207310676574707,2,2
G3,4,1.8397236023106116,0.0468081259538446,0.32938305536905926,3,3
G4,1,1.5203179976210277,0.18150079722332177,0.4689154624938965,3,3
G4,2,1.8889645644251942,0.19823374709834357,0.37686951955159503,3,3
G5,1,1.608185862803059,0.017177793650683948,0.4094407558441162,2,2
G5,2,1.894018886656265,0.1410265291172086,0.3585994243621826,2,2
S1,1,2.3300157253322653,0.0027136288520170915,0.5203187465667725,2,2
S1,2,2.2727287553485986,0.013125573802513557,0.5278952121734619,2,2
S2,1,2.188697102898014,0.10829346122563285,0.5366419156392416,3,3
S2,2,2.167654800793357,0.1549023204432416,0.5485377311706543,3,3
S2,3,2.352627806470715,0.12648796781885574,0.5359897613525391,2,2
S3,1,2.672374934839702,0.11378713936146091,0.4796460469563802,3,3
S3,2,3.2354820548323118,0.9004175755684277,0.43358008066813153,3,3
