bead_id,voxels,volume_mm3,r_eq_vox,cz,cy,cx,r_fit_vox,fill,roughness,sphericity,radius_ok,shape_ok,scan
1,142130,2.15900956567735,32.374200265067266,36.31865897417857,34.92303524941955,37.92096672060789,32.656307487187554,0.9743072108893699,0.11922498699242319,0.7347752530342107,True,True,1
2,180628,2.743809046852659,35.06701679154516,36.79962132116837,39.78100848152003,37.67800119582789,34.69000369272983,1.0329598129245117,0.018997187256812362,0.9556873006660773,True,True,1
3,161453,2.4525333948308257,33.77944449447027,36.828191486067155,37.80941822078252,38.55849070627365,33.946026978605715,0.9853503013430612,0.07907558847628651,0.8648055703890033,True,True,1
4,159852,2.42821358680543,33.66741882564667,37.324312489052375,35.22560243224983,37.18746715712034,33.80180412226851,0.988120302927101,0.086298635104846,0.8421327250006607,True,True,1
5,146864,2.2309208531178384,32.729716817102066,35.56637433271598,38.81682372807495,34.477291916330756,32.95597606261638,0.9795445823959589,0.10240888724097134,0.7748856713700458,True,True,1
6,157620,2.394308645198508,33.50998534897102,35.161229539398555,35.4871907118386,36.99246922979317,33.23441617923593,1.0250818683076752,0.0372883425933439,0.9548443212140852,True,True,1
7,181929,2.7635717390706724,35.15100726093892,37.05664847275585,39.89268890611172,37.13881239384595,34.81025734244462,1.0296547357597052,0.024376508932694115,0.9298581143196907,True,True,1
8,190287,2.890532985464335,35.68125900676466,38.04514233762685,38.54880259818064,36.02863043718173,35.2449781689258,1.0375971548945417,0.022349105691885293,0.9465160945549722,True,True,1
9,172052,2.613536296305632,34.50301434231321,35.340769069816105,36.513972519935834,40.0444691139888,34.14412454216695,1.0318656860132447,0.026054535938463866,0.9425303164658322,True,True,1
10,170796,2.5944571714587257,34.418850508306,36.576026370640996,36.420560200473076,36.199963699384064,34.029775285707295,1.0346937894468133,0.016168295447970358,0.9781758702591337,True,True,1
11,194963,2.961563230515396,35.97116717983626,41.098941850504964,38.32252273508307,35.02086036837759,35.45107090052445,1.044661316463439,0.0828009301801391,0.7470344641733501,True,True,1
12,187123,2.8424706040824796,35.48238910254154,36.84519273419088,38.41236512881901,37.844642294106016,35.105727437934824,1.0325346444432437,0.01994133943520717,0.9549905168017603,True,True,1
13,174952,2.657588415776991,34.695788952597,37.048887694910604,36.25513855228863,40.087481137683476,34.34652084355858,1.0308181291614138,0.022726960322938892,0.9434761685265424,True,True,1
14,192765,2.9281747620333105,35.83547711957012,38.400326822815344,38.12557258838482,38.62302803932249,35.60792826098139,1.0192939686628422,0.031523949374300995,0.9003945971472304,True,True,1
15,177958,2.7032507161669592,34.89337428758804,37.29813776284292,42.55336090538217,36.60021465739107,34.61482785846157,1.0243358637891704,0.029357001329845773,0.9283575248759716,True,True,1
16,165551,2.514783596759664,34.062856611906746,35.35223586689298,35.68760684018822,36.71310351492893,33.694961077387745,1.0331141788745857,0.022001733333496587,0.9607043653074185,True,True,1
