bead_a,bead_b,r_a_vox,r_b_vox,gap_vox,gap_um,dsum_min,z_mid,axis_dip_deg,lens_vox,lens_mm3,binder_vox,pore_vox,crack_vox,binder_frac,pore_frac,crack_frac,connected,bond_area_vox,r_bond_vox,r_bond_over_R,neck_binder_vox,neck_crack_vox,neck_severed,q_crack_med,q_binder_med,q_pore_med,dq_paired
1,2,31.254910280482818,35.69200650633178,2.1462643699419726,53.15443253543696,3.1462643699419726,102.28239428920168,80.54251663418232,2956,0.0449027810887374,1295,1229,432,0.4380920162381597,0.4157645466847091,0.14614343707713126,True,414.0,11.479559785988718,0.34294513734050414,1123,398,0.2616699539776463,0.40269974784927715,0.18660549686337077,0.34514099850039526,0.21609425098590637
1,28,31.254910280482818,35.44670454025257,1.0,24.7660229,2.0,113.07993861081934,57.949367834456545,2880,0.0437483117508673,2334,535,11,0.8104166666666667,0.1857638888888889,0.0038194444444444443,True,1474.0,21.660765735192914,0.6494824988392719,2430,71,0.028388644542183126,0.4211646096066227,0.28989794855663564,0.40269974784927715,0.13126666104998708
1,30,31.254910280482818,32.89042370338548,1.0,24.7660229,2.0,114.5288489292247,56.577706838016205,2397,0.03641135530098226,2353,44,0,0.9816437213183146,0.01835627868168544,0.0,True,2643.0,29.00505178729662,0.9043542214494045,2647,35,0.013049962714392245,,0.3090169943749474,0.40453726661826384,
2,4,35.69200650633178,37.09769995995954,1.0,24.7660229,2.0,110.67113066388158,85.91813787213812,5954,0.09044355839050829,4861,823,270,0.8164259321464562,0.13822640241854214,0.04534766543500168,True,704.0,14.96964127403822,0.4113120384946356,1151,1102,0.4891256102973813,0.38742588672279316,0.3090169943749474,0.39564392373896,0.07840889234784576
2,28,35.69200650633178,35.44670454025257,1.0,24.7660229,2.0,118.95193975580558,72.88092872163575,2840,0.04314069630988303,2734,106,0,0.9626760563380282,0.03732394366197183,0.0,True,1781.0,23.809869955405706,0.6693927850285084,1914,152,0.07357212003872217,,0.3090169943749474,0.4142135623730951,
2,29,35.69200650633178,34.79735966025942,1.0,24.7660229,2.0,119.20371831564462,70.86181898240743,2841,0.043155886695907635,2630,209,2,0.9257303766279479,0.07356564589933122,0.0007039774727208729,True,1801.0,23.943184938871582,0.6793417572314497,2583,823,0.24163241338813857,0.46525043702153024,0.3090169943749474,0.407669683062202,0.15623344264658284
2,30,35.69200650633178,32.89042370338548,2.23606797749979,55.37851073671648,3.23606797749979,120.40085007421094,69.5559949025742,3417,0.05190554904608109,2834,287,296,0.829382499268364,0.08399180567749488,0.08662569505414106,True,4581.0,38.1860915597282,1.1135823400529692,4585,534,0.1043172494627857,0.38753158729829035,0.2612038749637414,0.3090169943749474,0.12632771233454893
2,52,35.69200650633178,34.412803838966106,2.23606797749979,55.37851073671648,3.23606797749979,141.35033984449427,25.144901495861774,3326,0.050523223917841885,3198,128,0,0.9615153337342153,0.03848466626578473,0.0,True,1937.0,24.830752093684207,0.7083893950038956,2111,475,0.18368136117556072,,0.28172904669025317,0.3727076041405398,
5,40,38.13321072031255,34.93919597971827,1.0,24.7660229,2.0,128.35698026918533,53.07611704279028,3024,0.045935727338410656,2645,339,40,0.8746693121693122,0.11210317460317461,0.013227513227513227,True,2912.0,30.445334430207833,0.8332922317774156,2928,1423,0.3270512525856125,0.40343909942725564,0.29581631632448924,0.392280956059262,0.1076227831027664
5,51,38.13321072031255,34.26751612520607,2.449489742783178,60.66411906308329,3.449489742783178,140.02058542511037,33.15391432073034,3534,0.05368282421096008,3534,0,0,1.0,0.0,0.0,True,3268.0,32.252700786889584,0.8909496407600203,3268,0,0.0,,0.28330039409901914,,
6,7,36.723705390442255,34.97774443322708,1.0,24.7660229,2.0,107.53953951114033,88.554256109194,3138,0.047667431345215824,2728,396,14,0.8693435309114086,0.12619502868068833,0.004461440407903123,True,1149.0,19.124279312569545,0.5334419139250497,1904,245,0.11400651465798045,0.41421356237309503,0.28989794855663564,0.4,0.12431561381645939
6,8,36.723705390442255,36.473649790225515,1.0,24.7660229,2.0,106.45281700471037,89.70347003667645,4469,0.06788583514396734,4047,376,46,0.9055717162676213,0.08413515327813828,0.010293130454240322,True,513.0,12.778613837669742,0.3491550700467034,1373,542,0.28302872062663187,0.42410779636573254,0.3090169943749474,0.38742588672279316,0.11509080199078514
3,5,37.24439280902589,38.13321072031255,1.0,24.7660229,2.0,106.69922526744408,89.27658370032454,7055,0.10716817340360027,5694,852,509,0.8070871722182849,0.12076541459957477,0.07214741318214032,True,2252.0,26.77375326109316,0.7103901426283017,2252,290,0.11408339889850512,0.40269974784927715,0.3090169943749474,0.37268226712382524,0.09368275347432975
3,23,37.24439280902589,37.67459673536332,1.0,24.7660229,2.0,109.03762470419382,87.40557183969933,1724,0.02618822550642195,1393,331,0,0.8080046403712297,0.1919953596287703,0.0,True,42.0,3.656366395715726,0.09760853471066487,4120,21,0.005071238831200193,,0.30901699437494745,0.40453726661826384,
3,24,37.24439280902589,36.801781411217334,1.0,24.7660229,2.0,110.06995189531825,85.57363416408809,5637,0.08562820602070796,5244,357,36,0.9302820649281532,0.0633315593400745,0.006386375731772219,True,657.0,14.461313744703505,0.3906025908020506,1988,316,0.1371527777777778,0.43033773271077425,0.3090169943749474,0.37268226712382524,0.12132073833582685
3,29,37.24439280902589,34.79735966025942,1.0,24.7660229,2.0,118.69396989547728,70.36999017321641,3373,0.0512371720609984,3243,130,0,0.961458642158316,0.038541357841683964,0.0,True,1873.0,24.41709271846753,0.6778594879095328,2848,430,0.13117754728492984,,0.3090169943749474,0.4,
3,36,37.24439280902589,34.82769584542937,1.0,24.7660229,2.0,124.19717154269533,62.22996623506191,2805,0.04260903279902179,2624,176,5,0.9354723707664884,0.06274509803921569,0.0017825311942959,True,1636.0,22.820056393372074,0.6332564192160792,1746,424,0.19539170506912443,0.32449979983983984,0.3090169943749474,0.41054588061380315,0.015482805464892446
