bond_id;labelA;labelB;cx_A;cy_A;cz_A;cx_B;cy_B;cz_B;dist_vox;dist_um
342;97;108;315.94;221.36;328.64;295.73;163.08;361.96;70.105;1736.2
343;97;120;315.94;221.36;328.64;317.39;242.69;395.06;69.775;1728.1
344;98;101;252.62;278.73;333.44;320.39;287.64;341.30;68.798;1703.9
345;98;109;252.62;278.73;333.44;241.05;218.88;373.20;72.779;1802.4
346;98;110;252.62;278.73;333.44;197.77;305.28;367.82;69.968;1732.8
347;98;114;252.62;278.73;333.44;277.07;330.59;376.63;71.771;1777.5
348;99;102;420.94;286.39;339.09;390.72;352.57;345.07;72.995;1807.8
349;99;107;420.94;286.39;339.09;475.72;242.28;358.48;72.956;1806.8
350;99;112;420.94;286.39;339.09;480.39;314.20;375.11;74.871;1854.3
351;99;113;420.94;286.39;339.09;394.92;227.49;382.70;77.769;1926.0
352;99;124;420.94;286.39;339.09;423.82;290.43;408.89;69.982;1733.2
353;100;108;362.33;169.33;339.09;295.73;163.08;361.96;70.697;1750.9
354;100;111;362.33;169.33;339.09;417.59;154.85;377.27;68.716;1701.8
355;100;118;362.33;169.33;339.09;342.98;114.31;384.60;73.980;1832.2
356;100;127;362.33;169.33;339.09;344.64;180.37;411.54;75.397;1867.3
357;101;114;320.39;287.64;341.30;277.07;330.59;376.63;70.491;1745.8
358;101;120;320.39;287.64;341.30;317.39;242.69;395.06;70.133;1736.9
359;101;121;320.39;287.64;341.30;357.99;312.46;394.76;69.914;1731.5
360;102;105;390.72;352.57;345.07;324.73;377.40;355.36;71.253;1764.6
361;102;116;390.72;352.57;345.07;451.64;378.21;378.20;73.931;1831.0
362;102;119;390.72;352.57;345.07;400.18;426.03;381.53;82.556;2044.6
363;102;121;390.72;352.57;345.07;357.99;312.46;394.76;71.757;1777.1
364;103;123;154.73;232.86;347.09;143.01;276.21;404.00;72.494;1795.4
365;103;125;154.73;232.86;347.09;167.29;200.81;410.93;72.525;1796.2
366;104;106;246.10;436.25;346.51;315.57;449.94;350.45;70.913;1756.2
367;104;122;246.10;436.25;346.51;209.89;417.90;401.40;68.265;1690.7
368;104;126;246.10;436.25;346.51;280.12;416.26;410.15;74.875;1854.3
369;105;106;324.73;377.40;355.36;315.57;449.94;350.45;73.282;1814.9
370;105;114;324.73;377.40;355.36;277.07;330.59;376.63;70.110;1736.4
371;105;126;324.73;377.40;355.36;280.12;416.26;410.15;80.641;1997.2
372;105;131;324.73;377.40;355.36;356.64;379.84;417.89;70.245;1739.7
373;106;126;315.57;449.94;350.45;280.12;416.26;410.15;77.172;1911.2
374;106;129;315.57;449.94;350.45;342.95;449.34;415.02;70.145;1737.2
375;107;112;475.72;242.28;358.48;480.39;314.20;375.11;73.969;1831.9
376;107;128;475.72;242.28;358.48;457.55;203.69;414.35;70.289;1740.8
377;108;109;295.73;163.08;361.96;241.05;218.88;373.20;78.923;1954.6
378;108;118;295.73;163.08;361.96;342.98;114.31;384.60;71.579;1772.7
379;108;127;295.73;163.08;361.96;344.64;180.37;411.54;71.764;1777.3
380;108;133;295.73;163.08;361.96;278.01;183.60;428.02;71.409;1768.5
381;109;117;241.05;218.88;373.20;207.79;152.36;377.68;74.501;1845.1
382;109;130;241.05;218.88;373.20;244.10;276.88;416.59;72.499;1795.5
383;109;133;241.05;218.88;373.20;278.01;183.60;428.02;74.938;1855.9
384;110;115;197.77;305.28;367.82;168.35;369.42;376.14;71.054;1759.7
385;110;123;197.77;305.28;367.82;143.01;276.21;404.00;71.781;1777.7
386;110;130;197.77;305.28;367.82;244.10;276.88;416.59;73.014;1808.3
387;110;132;197.77;305.28;367.82;226.64;346.99;421.24;73.664;1824.4
388;111;113;417.59;154.85;377.27;394.92;227.49;382.70;76.296;1889.5
389;111;128;417.59;154.85;377.27;457.55;203.69;414.35;73.195;1812.8
390;111;134;417.59;154.85;377.27;389.85;136.03;442.75;73.563;1821.9
391;112;116;480.39;314.20;375.11;451.64;378.21;378.20;70.238;1739.5
392;112;124;480.39;314.20;375.11;423.82;290.43;408.89;70.050;1734.9
393;113;120;394.92;227.49;382.70;317.39;242.69;395.06;79.965;1980.4
394;113;124;394.92;227.49;382.70;423.82;290.43;408.89;74.039;1833.6
395;113;127;394.92;227.49;382.70;344.64;180.37;411.54;74.700;1850.0
396;113;128;394.92;227.49;382.70;457.55;203.69;414.35;74.100;1835.2
397;113;136;394.92;227.49;382.70;371.30;257.45;438.50;67.594;1674.0
398;114;130;277.07;330.59;376.63;244.10;276.88;416.59;74.618;1848.0
399;114;132;277.07;330.59;376.63;226.64;346.99;421.24;69.300;1716.3
