bond_id;labelA;labelB;d1_vox;d2_vox;strain;broken;nx_A;ny_A;nz_A;nx_B;ny_B;nz_B;normal_dz
690;200;210;72.515;41.064;-0.433715;1;227.79;433.91;606.56;236.61;372.06;644.32;0.517
691;200;222;69.535;70.639;0.015872;1;227.79;433.91;606.56;215.54;432.21;675.34;0.984
692;201;205;70.998;82.167;0.157306;1;462.34;325.94;617.85;410.69;276.81;624.70;0.096
693;201;226;72.582;88.707;0.222153;1;462.34;325.94;617.85;461.64;315.95;689.92;0.990
694;202;221;71.081;5.012;-0.929487;1;342.89;170.26;624.18;284.68;167.75;664.57;0.570
695;202;228;69.712;3.342;-0.952062;1;342.89;170.26;624.18;352.07;179.55;692.58;0.982
696;203;207;70.834;129.485;0.828009;0;230.97;161.48;618.27;165.42;185.84;631.24;0.182
697;203;221;71.087;80.259;0.129022;0;230.97;161.48;618.27;284.68;167.75;664.57;0.650
698;203;225;70.444;76.392;0.084448;1;230.97;161.48;618.27;226.98;131.07;682.72;0.903
699;204;206;69.482;81.008;0.165884;1;247.75;306.60;618.54;314.88;289.81;621.81;0.047
700;204;210;71.410;65.193;-0.087061;1;247.75;306.60;618.54;236.61;372.06;644.32;0.362
701;204;211;77.775;149.981;0.928394;1;247.75;306.60;618.54;266.46;233.99;638.76;0.260
702;204;215;70.918;102.834;0.450037;1;247.75;306.60;618.54;186.47;309.30;653.49;0.495
703;204;219;79.770;64.680;-0.189171;1;247.75;306.60;618.54;302.66;342.93;663.14;0.561
704;204;224;69.353;129.438;0.866378;1;247.75;306.60;618.54;263.88;286.01;683.46;0.928
705;205;214;72.265;121.289;0.678396;0;410.69;276.81;624.70;452.35;223.19;648.52;0.331
706;205;217;74.394;69.130;-0.070756;1;410.69;276.81;624.70;388.55;337.98;661.13;0.489
707;205;227;72.280;3.552;-0.950861;1;410.69;276.81;624.70;402.58;274.78;696.27;0.993
708;206;211;76.208;143.701;0.885636;1;314.88;289.81;621.81;266.46;233.99;638.76;0.224
709;206;218;70.213;68.848;-0.019440;1;314.88;289.81;621.81;347.19;243.70;663.27;0.593
710;206;219;69.082;42.127;-0.390192;1;314.88;289.81;621.81;302.66;342.93;663.14;0.604
711;207;216;69.944;162.645;1.325370;1;165.42;185.84;631.24;201.38;242.34;652.45;0.302
712;207;220;79.536;114.089;0.434446;1;165.42;185.84;631.24;133.73;248.76;668.49;0.467
713;207;229;73.276;113.313;0.546386;1;165.42;185.84;631.24;160.02;183.30;704.21;0.997
714;208;215;70.790;108.192;0.528338;1;150.84;365.81;630.68;186.47;309.30;653.49;0.323
715;209;212;71.807;71.866;0.000811;1;344.10;388.88;633.26;313.60;451.70;647.58;0.201
716;209;213;73.732;98.754;0.339357;0;344.10;388.88;633.26;415.77;403.32;647.40;0.190
717;209;217;72.731;78.243;0.075799;1;344.10;388.88;633.26;388.55;337.98;661.13;0.381
718;209;219;69.430;73.937;0.064916;1;344.10;388.88;633.26;302.66;342.93;663.14;0.435
719;209;236;75.574;69.082;-0.085893;1;344.10;388.88;633.26;346.26;378.17;707.95;0.989
720;210;215;81.765;107.622;0.316240;1;236.61;372.06;644.32;186.47;309.30;653.49;0.113
721;210;219;74.755;60.272;-0.193747;1;236.61;372.06;644.32;302.66;342.93;663.14;0.252
722;210;222;70.226;49.524;-0.294798;1;236.61;372.06;644.32;215.54;432.21;675.34;0.438
723;210;231;73.933;78.154;0.057090;1;236.61;372.06;644.32;279.16;398.46;697.87;0.730
724;210;234;80.840;49.070;-0.392999;0;236.61;372.06;644.32;210.83;341.61;713.85;0.867
725;211;216;67.279;81.854;0.216627;1;266.46;233.99;638.76;201.38;242.34;652.45;0.204
726;211;221;73.362;72.425;-0.012765;0;266.46;233.99;638.76;284.68;167.75;664.57;0.352
727;211;224;68.335;88.485;0.294871;1;266.46;233.99;638.76;263.88;286.01;683.46;0.651
728;211;230;77.569;2.076;-0.973231;1;266.46;233.99;638.76;227.81;202.55;699.01;0.771
729;211;233;75.179;73.790;-0.018475;1;266.46;233.99;638.76;297.31;220.88;706.06;0.895
730;212;231;80.793;68.996;-0.146011;1;313.60;451.70;647.58;279.16;398.46;697.87;0.621
731;212;240;68.988;72.461;0.050331;1;313.60;451.70;647.58;321.64;452.92;715.30;0.993
732;213;217;71.865;89.467;0.244929;1;415.77;403.32;647.40;388.55;337.98;661.13;0.190
733;213;238;70.457;42.587;-0.395560;1;415.77;403.32;647.40;426.30;390.47;715.71;0.972
734;214;223;72.001;13.721;-0.809438;1;452.35;223.19;648.52;418.87;167.58;681.07;0.448
735;214;241;71.890;61.874;-0.139330;1;452.35;223.19;648.52;452.47;227.39;720.58;0.998
736;215;216;68.209;72.597;0.064331;1;186.47;309.30;653.49;201.38;242.34;652.45;-0.015
737;215;220;80.818;90.810;0.123627;1;186.47;309.30;653.49;133.73;248.76;668.49;0.184
738;215;232;71.711;0.340;-0.995263;1;186.47;309.30;653.49;135.23;316.84;704.90;0.705
739;215;234;72.536;103.959;0.433196;1;186.47;309.30;653.49;210.83;341.61;713.85;0.831
740;215;239;71.951;69.615;-0.032473;1;186.47;309.30;653.49;186.80;269.03;712.96;0.828
741;216;220;68.790;113.386;0.648292;1;201.38;242.34;652.45;133.73;248.76;668.49;0.230
742;216;230;66.624;82.054;0.231597;0;201.38;242.34;652.45;227.81;202.55;699.01;0.698
743;216;239;67.917;85.977;0.265926;1;201.38;242.34;652.45;186.80;269.03;712.96;0.894
744;217;226;80.993;115.942;0.431507;1;388.55;337.98;661.13;461.64;315.95;689.92;0.353
745;217;227;73.525;68.679;-0.065917;1;388.55;337.98;661.13;402.58;274.78;696.27;0.477
746;217;236;74.606;62.347;-0.164324;1;388.55;337.98;661.13;346.26;378.17;707.95;0.626
747;217;237;80.066;76.658;-0.042563;1;388.55;337.98;661.13;337.60;298.42;709.28;0.598
748;217;238;84.248;112.252;0.332403;1;388.55;337.98;661.13;426.30;390.47;715.71;0.645
749;217;243;74.054;129.093;0.743227;1;388.55;337.98;661.13;392.94;331.71;734.78;0.995
750;218;227;71.180;73.627;0.034373;1;347.19;243.70;663.27;402.58;274.78;696.27;0.461
751;218;228;70.616;104.078;0.473863;1;347.19;243.70;663.27;352.07;179.55;692.58;0.415
752;218;233;69.425;120.462;0.735133;0;347.19;243.70;663.27;297.31;220.88;706.06;0.615
753;218;237;72.396;0.840;-0.988403;1;347.19;243.70;663.27;337.60;298.42;709.28;0.638
754;219;224;71.237;87.533;0.228766;1;302.66;342.93;663.14;263.88;286.01;683.46;0.283
755;219;231;69.594;83.102;0.194097;0;302.66;342.93;663.14;279.16;398.46;697.87;0.499
756;219;236;71.568;84.917;0.186521;1;302.66;342.93;663.14;346.26;378.17;707.95;0.624
757;219;237;71.712;90.341;0.259774;1;302.66;342.93;663.14;337.60;298.42;709.28;0.632
758;219;242;70.276;35.896;-0.489214;1;302.66;342.93;663.14;285.07;336.59;732.13;0.965
759;220;229;78.568;3.634;-0.953743;1;133.73;248.76;668.49;160.02;183.30;704.21;0.452
760;220;232;77.056;90.622;0.176045;1;133.73;248.76;668.49;135.23;316.84;704.90;0.472
761;220;239;72.071;81.348;0.128712;1;133.73;248.76;668.49;186.80;269.03;712.96;0.616
762;220;244;72.846;2.526;-0.965330;1;133.73;248.76;668.49;130.91;237.01;741.36;0.987
763;221;225;70.060;75.448;0.076915;1;284.68;167.75;664.57;226.98;131.07;682.72;0.257
764;221;228;73.399;8.340;-0.886379;1;284.68;167.75;664.57;352.07;179.55;692.58;0.379
765;221;230;74.016;74.345;0.004439;1;284.68;167.75;664.57;227.81;202.55;699.01;0.459
766;221;233;68.389;75.855;0.109179;1;284.68;167.75;664.57;297.31;220.88;706.06;0.605
