bond_id;labelA;labelB;cx_A;cy_A;cz_A;cx_B;cy_B;cz_B;dist_vox;dist_um
0;1;2;240.04;144.85;36.68;200.06;207.63;35.10;74.447;1843.8
1;1;8;240.04;144.85;36.68;270.24;209.02;48.76;71.939;1781.6
2;1;9;240.04;144.85;36.68;309.35;118.53;52.48;75.805;1877.4
3;1;22;240.04;144.85;36.68;197.50;165.06;90.28;71.350;1767.0
4;1;25;240.04;144.85;36.68;262.64;135.89;103.69;71.278;1765.3
5;2;8;200.06;207.63;35.10;270.24;209.02;48.76;71.515;1771.1
6;2;15;200.06;207.63;35.10;133.04;190.90;65.96;75.652;1873.6
7;2;17;200.06;207.63;35.10;228.65;256.98;77.38;70.999;1758.4
8;2;22;200.06;207.63;35.10;197.50;165.06;90.28;69.743;1727.3
9;3;10;196.21;304.22;36.86;249.61;345.20;55.35;69.808;1728.9
10;3;17;196.21;304.22;36.86;228.65;256.98;77.38;70.187;1738.3
11;3;20;196.21;304.22;36.86;163.21;271.69;88.62;69.470;1720.5
12;3;28;196.21;304.22;36.86;195.32;332.99;103.95;73.010;1808.2
13;4;12;356.30;362.94;37.75;347.64;432.09;59.51;73.010;1808.2
14;4;14;356.30;362.94;37.75;411.53;402.73;62.96;72.588;1797.7
15;4;21;356.30;362.94;37.75;307.42;376.41;89.35;72.336;1791.5
16;4;29;356.30;362.94;37.75;375.14;363.31;106.05;70.850;1754.7
17;5;30;486.84;423.82;42.47;476.60;417.94;111.16;69.698;1726.1
18;6;12;297.95;482.67;40.08;347.64;432.09;59.51;73.519;1820.8
19;6;24;297.95;482.67;40.08;343.38;494.97;95.87;72.991;1807.7
20;6;27;297.95;482.67;40.08;292.44;444.89;98.76;70.003;1733.7
21;7;16;446.37;249.79;48.37;501.06;212.43;73.45;70.828;1754.1
22;7;19;446.37;249.79;48.37;415.11;302.56;85.04;71.458;1769.7
23;7;26;446.37;249.79;48.37;392.30;237.63;98.43;74.682;1849.6
24;7;35;446.37;249.79;48.37;460.40;248.87;120.99;73.969;1831.9
25;8;13;270.24;209.02;48.76;329.28;247.36;64.24;72.073;1785.0
26;8;17;270.24;209.02;48.76;228.65;256.98;77.38;69.635;1724.6
27;8;23;270.24;209.02;48.76;318.09;176.03;90.90;71.789;1777.9
28;8;33;270.24;209.02;48.76;252.14;201.82;115.79;69.802;1728.7
29;9;11;309.35;118.53;52.48;311.49;53.04;58.63;65.808;1629.8
30;9;23;309.35;118.53;52.48;318.09;176.03;90.90;69.706;1726.3
31;9;25;309.35;118.53;52.48;262.64;135.89;103.69;71.450;1769.5
32;10;21;249.61;345.20;55.35;307.42;376.41;89.35;73.971;1832.0
33;10;28;249.61;345.20;55.35;195.32;332.99;103.95;73.879;1829.7
34;10;36;249.61;345.20;55.35;261.44;307.14;113.41;70.419;1744.0
35;11;18;311.49;53.04;58.63;244.47;68.30;78.75;71.622;1773.8
36;12;14;347.64;432.09;59.51;411.53;402.73;62.96;70.400;1743.5
37;12;21;347.64;432.09;59.51;307.42;376.41;89.35;74.896;1854.9
38;12;24;347.64;432.09;59.51;343.38;494.97;95.87;72.759;1802.0
39;12;27;347.64;432.09;59.51;292.44;444.89;98.76;68.931;1707.1
40;12;38;347.64;432.09;59.51;385.17;433.18;120.37;71.514;1771.1
41;13;26;329.28;247.36;64.24;392.30;237.63;98.43;72.350;1791.8
42;13;32;329.28;247.36;64.24;352.65;297.09;111.25;72.317;1791.0
43;13;41;329.28;247.36;64.24;301.00;250.11;127.56;69.399;1718.7
44;14;29;411.53;402.73;62.96;375.14;363.31;106.05;68.817;1704.3
45;14;38;411.53;402.73;62.96;385.17;433.18;120.37;70.134;1736.9
46;15;22;133.04;190.90;65.96;197.50;165.06;90.28;73.579;1822.3
47;15;34;133.04;190.90;65.96;134.00;136.82;115.47;73.325;1816.0
48;15;37;133.04;190.90;65.96;73.33;194.25;114.35;76.933;1905.3
49;15;40;133.04;190.90;65.96;160.91;214.24;124.64;69.026;1709.5
50;16;35;501.06;212.43;73.45;460.40;248.87;120.99;72.405;1793.2
51;16;43;501.06;212.43;73.45;499.19;182.39;137.59;70.854;1754.8
52;17;20;228.65;256.98;77.38;163.21;271.69;88.62;68.007;1684.3
53;17;33;228.65;256.98;77.38;252.14;201.82;115.79;71.204;1763.4
54;17;36;228.65;256.98;77.38;261.44;307.14;113.41;69.925;1731.8
55;17;46;228.65;256.98;77.38;219.67;250.46;150.93;74.381;1842.1
56;18;25;244.47;68.30;78.75;262.64;135.89;103.69;74.299;1840.1
57;18;39;244.47;68.30;78.75;196.96;100.62;122.00;71.919;1781.1
58;19;26;415.11;302.56;85.04;392.30;237.63;98.43;70.117;1736.5
59;19;29;415.11;302.56;85.04;375.14;363.31;106.05;75.692;1874.6
60;19;31;415.11;302.56;85.04;468.51;346.55;101.19;71.042;1759.4
61;19;32;415.11;302.56;85.04;352.65;297.09;111.25;67.964;1683.2
62;19;35;415.11;302.56;85.04;460.40;248.87;120.99;78.908;1954.2
63;19;45;415.11;302.56;85.04;422.91;329.86;151.23;72.019;1783.6
64;20;28;163.21;271.69;88.62;195.32;332.99;103.95;70.879;1755.4
65;20;40;163.21;271.69;88.62;160.91;214.24;124.64;67.845;1680.2
66;20;58;163.21;271.69;88.62;157.45;285.51;161.90;74.795;1852.4
67;21;27;307.42;376.41;89.35;292.44;444.89;98.76;70.732;1751.7
