b1_a,b1_b,b3_a,b3_b,gap1_vox,gap3_vox,opening_vox,axis_dip_deg,z_mid,r_bond1_vox,connected1,outcome,crack_frac3,neck_severed3,q_crack3
2,83,237,64,1.0,6.89920048531124,5.89920048531124,88.65473169718993,989.555787984688,28.928129749038145,True,survived,0.0,0.0,
2,122,237,145,1.0,1.0,0.0,52.30050920042,1011.6040481611144,29.907369997651948,True,survived,0.0,0.0,
2,131,237,1,1.0,1.0,0.0,68.25840808686372,1002.5314661828876,34.33222259829062,True,survived,0.0,0.0,
3,233,2,200,1.0,1.0,0.0,80.9282037831985,873.3470600958924,28.00563442518059,True,survived,0.0,0.0,
2,154,237,48,1.0,1.7320508075688772,0.7320508075688772,55.5646425962917,967.6906117210826,32.1439557390279,True,survived,0.0,0.0,
2,213,237,180,1.0,8.22446323827975,7.22446323827975,56.45725208252242,968.3035197335088,35.30132015108699,True,survived,0.0,0.0,
3,57,2,39,5.572595368400839,5.741657386773941,0.16906201837310153,56.40640765027336,844.230499535725,23.02142394588161,True,survived,0.0007004763239002,0.0548614883215643,0.3840883782110749
3,64,2,96,8.449489742783179,26.07433581791456,17.62484607513138,55.74910909522205,843.1479684020442,26.9810064619971,True,separated,,,
2,52,237,37,8.38083151964686,1.0,-7.3808315196468595,49.83061777974312,1017.0123488232066,23.200474511026496,True,survived,0.0,0.0,
4,224,3,184,1.0,1.0,0.0,77.26185231649413,800.3978818232018,24.86917989912625,True,survived,0.0008289582757667,0.1576460481099656,0.2433607328111082
4,241,3,236,2.6502815398728847,2.449489742783178,-0.20079179708970685,37.92264120198875,778.026738403128,24.247027854594084,True,survived,0.0,0.070506454816286,
4,242,3,175,1.0,1.0,0.0,73.17163375627759,819.2070250101153,22.868824696515738,True,survived,0.0089803012746234,0.1123445825932504,0.3816524151396708
4,258,3,227,6.0,6.0,0.0,4.528980421061297,848.2011332711468,22.47571554753432,True,survived,0.0,0.0,
3,247,2,209,7.4852813742385695,8.018397960625059,0.5331165863864893,79.81289108415537,874.5211673297381,24.312578198194025,True,survived,0.0,0.0024449877750611,
3,262,2,204,1.0,72.86035880428221,71.86035880428221,62.62957361831412,884.2719589030307,31.720301862166483,True,separated,,,
4,66,3,47,1.0,1.0,0.0,60.92750131556105,790.3492318972001,26.129958014972605,True,survived,0.0006776598147729,0.2023901310717039,0.4665171868296264
4,90,3,87,2.4641016151377544,2.4641016151377544,0.0,53.44882337634677,831.5846952345769,25.56345431148385,True,survived,0.1012467755803955,0.2332305319969159,0.3660254037844386
4,156,3,153,6.032065437739018,6.117215614703381,0.08515017696436367,49.1644622323596,834.885945979958,21.55765371807272,True,survived,0.049113629758791,0.1664853101196953,0.3514636481246516
6,19,110,42,1.0,1.8284271247461903,0.8284271247461903,4.599580499990842,531.7999933288219,29.31072129460568,True,survived,0.0,0.0,
6,22,110,138,1.0,5.19114712955712,4.19114712955712,19.604447540771886,457.4663930807384,35.88707008798039,True,survived,0.0077075098814229,0.0,0.2316624790355399
6,48,110,7,5.0,1.0,-4.0,87.36118834916815,494.9442743535772,37.99807421080277,True,survived,0.0,0.0002684563758389,
6,250,110,102,1.0,2.23606797749979,1.2360679774997898,70.11027890029646,480.63255073787934,30.81942083122964,True,survived,0.0,0.0,
12,153,35,38,2.863703305156273,1.0,-1.8637033051562728,57.45360766840152,822.9600465147546,31.311251163856024,True,survived,0.0,0.0,
13,28,22,74,4.977725364273731,13.82810580178463,8.8503804375109,69.13634647955797,632.1010490617207,23.60174359706574,True,separated,,,
13,72,22,73,8.438793109825916,9.0,0.5612068901740841,88.61427060319264,647.8593411079695,28.406259195394057,True,survived,0.0581579542883005,0.0864197530864197,0.3534341496064852
13,75,22,86,5.19114712955712,5.513233075965879,0.32208594640875976,45.317347198388894,674.9921137545496,27.50098706542525,True,survived,0.0004677997816934,0.0783040488922841,0.4318559343670599
13,220,22,25,1.0,6.330293345472711,5.330293345472711,72.27421044800563,635.7937464985455,31.18902069924069,True,survived,0.0477898966704936,0.0842158345940494,0.35123504722476
12,39,35,76,1.0,1.0,0.0,89.4078743669096,801.4703780857801,29.82210291038362,True,survived,0.0,0.0,
13,283,22,268,1.0,1.0,0.0,49.30991269035107,623.2010918373963,32.96045572417465,True,survived,0.0,0.0,
