id,n_scan,shortening,z_first,z_last,followed,separated_pct,detached_pct,cracked_last,wide_enough,answerable,rot_med_deg,rot_p95_deg,eq_med,dic_grains,d_surface_mm3,d_body_mm3,body_components,cluster_biggest,cluster_null,p_biggest,p_rms,air_spans_last,tau_first,tau_last,p_biggest_bh
G1,3,0.16 / 0.22,7.47,5.5,291,40.2,0.0,105,70,60,10.0,17.2,0.375,264/364,46.0,56.0,2,40,44.0,0.6875,0.26,True,1.609,3.737,1.0
G2,2,0.22,6.77,5.6,224,51.3,0.0,35,19,14,9.0,16.6,0.403,302/302,53.0,30.0,2,20,29.0,0.8925,0.105,False,1.622,1.817,1.0
G3,4,0.04 / 0.10 / 0.30,7.29,5.19,679,6.0,0.1,62,30,30,10.9,25.5,0.312,254/375,92.0,49.0,2,16,0.0,0.0,0.864406779661017,False,1.61,1.84,0.0
G4,2,0.21,7.25,6.25,500,24.2,0.2,31,15,12,9.3,19.1,0.323,354/354,31.0,20.0,4,20,38.0,0.9225,0.36,False,1.52,1.889,1.0
G5,2,0.14,6.95,5.4,246,47.6,0.4,107,28,28,9.1,18.1,0.379,278/278,73.0,25.0,3,58,54.0,0.4025,0.31,False,1.608,1.894,1.0
A1,3,0.06 / 0.12,6.12,5.46,418,26.8,0.0,113,31,27,14.1,26.5,0.37,223/290,21.0,10.0,4,14,22.0,0.8575,0.3075,False,1.762,1.765,1.0
A2,2,0.10,6.5,5.33,320,37.8,0.6,222,58,50,10.1,22.6,0.32,298/298,81.0,36.0,4,20,45.0,0.995,0.155,False,1.95,1.949,1.0
A3,2,0.37,9.23,7.29,5225,38.2,1.2,240,186,178,9.7,36.5,0.271,2390/2390,19.0,16.0,4,1849,1876.0,0.78,0.015,False,1.895,2.011,1.0
A4,3,0.01 / 0.08,6.33,5.65,777,1.7,0.0,132,40,32,10.3,22.6,0.277,291/330,74.0,27.0,4,0,0.0,1.0,,False,1.92,2.105,1.0
