id,material,stage,core_mm3,eps,phi_ice,rho,SV_per_mm,k_KC_m2
A1,alumina,1,962.8289772030456,0.09280559027246296,0.36693961523664087,0.5402547944908962,1.9474125944023883,1.1709381561994622e-12
A1,alumina,2,962.5640416803903,0.09470297006812463,0.3622400113523419,0.5430570185795335,2.353050060863732,8.522283158242308e-13
A1,alumina,3,794.7474469830886,0.15062118413792527,0.3528028421279659,0.4965759737341088,3.176569362463548,1.8813473319631833e-12
A2,alumina,1,1207.2114670457233,0.10440514116197774,0.3286070441373789,0.5669878147006433,1.9158064448929688,1.7226216048683518e-12
A2,alumina,2,1025.0212429995859,0.16054504820869195,0.36535140014222056,0.47410355164908746,2.867317727478447,2.7961894964601053e-12
A3,alumina,1,1230.106690288959,0.08013994590295931,0.3827867917490164,0.5370732623480242,1.9564435665605497,7.470333305071254e-13
A3,alumina,2,1105.344905458957,0.11987962688771324,0.4377581319341027,0.44236224117818407,4.060155038555313,5.806018394970799e-13
A4,alumina,1,1106.4987216102281,0.11728323208296704,0.32816735599157637,0.5545494119254566,1.6859268810453145,3.153245622679927e-12
A4,alumina,2,1094.6982373212588,0.14257342954509444,0.32265193678358106,0.5347746336713245,2.108749185200052,3.6207073933727165e-12
A4,alumina,3,1107.2722920185313,0.13669442398598514,0.3469933847938085,0.5163121912202063,2.8760258929135416,1.7155141687313293e-12
G1,glass,1,942.1187998471335,0.004090648532858241,0.3950293521224066,0.6008799993447352,0.5276330911228999,1.3659661740330653e-15
G1,glass,2,906.8936162196546,0.15809593058435492,0.3314758186162347,0.5104282507994103,2.956457070956854,2.511576519440324e-12
G1,glass,3,926.2363094544736,0.1743657901644745,0.3279731292572455,0.49766108057828,4.933152796918718,1.2102140955893887e-12
G2,glass,1,1484.6587486250744,0.03101388611954465,0.41664221322062567,0.5523439006598296,2.0991041259744767,3.76121443261769e-14
G2,glass,2,1492.5139099038029,0.11360815886603935,0.3604801236796319,0.5259117174543287,3.423286291615764,6.951357400226208e-13
G3,glass,1,1186.191740003402,0.005378730066433366,0.39729893795513926,0.5973223319784273,0.6098672867281479,2.3243207901650992e-15
G3,glass,2,1191.479209570847,0.009004173967645456,0.39373780038683825,0.5972580256455163,0.6307122809690903,1.0195218829686867e-14
G3,glass,3,1158.3146625691502,0.07000679394955292,0.3723776129775741,0.557615593072873,1.896709315107608,5.298421542225936e-13
G3,glass,4,1168.4451310089603,0.08770097915443156,0.31615613262405656,0.5961428882215118,2.8360068307622974,4.659360099500052e-13
G4,glass,1,1116.9088602471375,0.007029125705492563,0.4492821392507104,0.543688735043797,0.687947666981193,4.076811400869219e-15
G4,glass,2,719.2580337337323,0.057704173614637484,0.3861360811915533,0.5561597451938092,3.071165915102432,1.131729441600842e-13
G5,glass,1,841.5937468213583,0.006392427622940339,0.40846359872015714,0.5851439736569025,0.6024349646443232,3.998569174693187e-15
G5,glass,2,667.2433873352225,0.10777235499463249,0.36593104477607863,0.5262966002292889,3.0690693330277043,7.383056884047938e-13
S1,sand,1,838.7492862767066,0.01175295881805421,,,0.906288121938724,1.0980865245215888e-14
S1,sand,2,838.5053286771514,0.01149125019397737,,,0.8338646518545977,1.2123784493187639e-14
S2,sand,1,1055.8649116821273,0.013555816366803027,,,0.9018995494593849,1.701328534920935e-14
S2,sand,2,1055.8517568078298,0.013246221886017408,,,0.7957498835659141,2.039155777567805e-14
S2,sand,3,951.22595274201,0.08369854792367365,,,5.984779970680579,9.094626937022569e-14
S3,sand,1,924.7742803707632,0.04623685910060262,,,3.784496502668905,3.834213146781597e-14
S3,sand,2,924.1257268394427,0.009740528932236163,,,0.4793613523922521,2.2343390870276858e-14
