Label	Zpos	Ypos	Xpos	Zdisp	Ydisp	Xdisp	Fzz	Fzy	Fzx	Fyz	Fyy	Fyx	Fxz	Fxy	Fxx	PSCC	error	iterations	returnStatus	deltaPhiNorm	LabelDilate
0.0000000	0.0000000	0.0000000	0.0000000	-36.6637094	-18.4874810	-16.6894133	0.9552182	0.0000000	0.0000000	0.0000000	1.0633786	0.0000000	0.0000000	0.0000000	1.0633786	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
1.0000000	139.3995209	314.0856323	316.2452393	-40.0048259	-2.3656047	8.6912996	-0.9045593	0.3885865	-0.1754224	-0.4140115	-0.8988494	0.1437508	-0.1018187	0.2026580	0.9739418	0.0000000	2017.2127686	300.0000000	1.0000000	0.0184431	2.0000000
2.0000000	146.1570587	377.3755188	438.7402649	-46.0269129	-14.5993152	-4.0921930	0.8827911	0.3315984	-0.3327498	0.2135974	0.3475383	0.9130133	0.4183971	-0.8770745	0.2359752	0.0000000	2000.7620850	300.0000000	1.0000000	0.1193294	2.0000000
3.0000000	133.6210938	184.9975281	129.2324982	-38.1921458	17.1854360	38.8821654	0.9737167	-0.0239198	0.2265032	0.2267733	0.1944099	-0.9543472	-0.0212067	0.9806287	0.1947245	0.0000000	2262.0466309	300.0000000	1.0000000	0.0120730	2.0000000
4.0000000	148.4189606	273.5061035	396.6821289	0.7815989	-26.1362427	-11.4312427	0.1246271	0.9490767	0.2893467	-0.7180485	0.2875255	-0.6338260	-0.6847440	-0.1287730	0.7173166	0.0000000	546.1218872	300.0000000	1.0000000	0.0059587	2.0000000
5.0000000	143.6263275	203.0075989	474.9336243	-10.2659530	-14.8458120	-10.1768088	0.9904764	0.0800356	-0.1120304	-0.0821643	0.9965132	-0.0145081	0.1104786	0.0235748	0.9935989	0.0000000	878.3921509	56.0000000	2.0000000	0.0009965	2.0000000
6.0000000	141.4089355	137.5624237	399.6101990	-0.6569421	-20.0988428	-5.0104567	0.9996033	-0.0279849	-0.0031848	0.0281613	0.9910885	0.1301943	-0.0004870	-0.1302323	0.9914834	0.0000000	831.0950317	300.0000000	1.0000000	0.0013777	2.0000000
7.0000000	142.4445496	321.9357910	498.0088501	-46.8591881	31.9166187	22.5461578	0.2933073	-0.9555969	-0.0283812	-0.1990626	-0.0900819	0.9758378	-0.9350641	-0.2805707	-0.2166453	0.0000000	505.4997864	174.0000000	2.0000000	0.0009486	2.0000000
8.0000000	152.3767548	301.7028809	115.8023224	-52.8504082	-29.3091932	63.7621593	-0.7127666	-0.6750618	-0.1904085	-0.6957017	0.6458886	0.3143677	-0.0892350	0.3565384	-0.9300094	0.0000000	5672.3129883	300.0000000	1.0000000	0.0226617	2.0000000
9.0000000	157.4044189	411.2031555	303.6863098	-9.1405039	3.5593183	11.3242042	0.9811554	0.0981782	0.1664186	-0.0501408	0.9611554	-0.2714150	-0.1866012	0.2579560	0.9479656	0.0000000	54.0019608	4.0000000	2.0000000	0.0005138	2.0000000
