bead_a,bead_b,r_a_vox,r_b_vox,gap_vox,gap_um,dsum_min,z_mid,axis_dip_deg,lens_vox,lens_mm3,binder_vox,pore_vox,crack_vox,binder_frac,pore_frac,crack_frac,connected,bond_area_vox,r_bond_vox,r_bond_over_R,neck_binder_vox,neck_crack_vox,neck_severed,q_crack_med,q_binder_med,q_pore_med,dq_paired
1,2,37.46532261616168,21.66693342847926,1.0,24.7660229,2.0,77.49494410527275,64.51478328585284,1801,0.027357885230316667,1769,32,0,0.9822320932815103,0.01776790671848973,0.0,True,523.0,12.902560616952067,0.4363966971668217,548,0,0.0,,0.36602540378443865,0.4746807650256203,
1,4,37.46532261616168,35.8273575416245,2.0,49.5320458,3.0,89.77311876303807,88.02256399733294,3353,0.050933364340506264,3294,59,0,0.9824038174768863,0.01759618252311363,0.0,True,1370.0,20.88263738304607,0.5698423727468949,1438,0,0.0,,0.2742918851774318,0.37833392500911667,
1,10,37.46532261616168,34.32941200890888,1.414213562373095,35.02444547122265,2.414213562373095,99.0778479572097,77.74662278629704,2912,0.04423440410365471,2781,131,0,0.9550137362637363,0.044986263736263736,0.0,True,2178.0,26.330190506494557,0.7334852797770525,2181,0,0.0,,0.28989794855663564,0.407669683062202,
1,15,37.46532261616168,34.81555458468182,1.0,24.7660229,2.0,109.82147581565513,57.87855712722271,3016,0.045814204250213805,3016,0,0,1.0,0.0,0.0,True,2270.0,26.88054020359719,0.7437801322998748,2270,0,0.0,,0.3090169943749474,,
3,9,35.55631345692592,45.64209171089868,1.0,24.7660229,2.0,103.20024049832605,56.23448039679735,5148,0.07820010725467529,4967,181,0,0.9648407148407149,0.03515928515928516,0.0,True,2837.0,30.05070959400816,0.7401797986523989,2843,0,0.0,,0.29581631632448924,0.39879456798407137,
3,17,35.55631345692592,35.864763790951166,1.0,24.7660229,2.0,113.9013841326369,35.78445356166602,2642,0.0401329998770109,2642,0,0,1.0,0.0,0.0,True,2125.0,26.007854739300495,0.7282963444820779,2128,0,0.0,,0.3090169943749474,,
3,20,35.55631345692592,35.97479536367141,1.0,24.7660229,2.0,113.60472571422709,35.88844030592507,3266,0.04961180075636548,3266,0,0,1.0,0.0,0.0,True,2029.0,25.41359398170419,0.710560605049264,2045,0,0.0,,0.3090169943749474,,
4,8,35.8273575416245,36.04806323854428,1.0,24.7660229,2.0,92.04572234163972,84.25649265611972,2627,0.0399051440866418,2542,85,0,0.9676437000380662,0.03235629996193377,0.0,True,2863.0,30.188097060666024,0.8400116961540002,2863,0,0.0,,0.3090169943749474,0.3516287047744073,
5,12,34.324617143566016,36.412172988782864,6.358898943540674,157.48463685451412,7.358898943540674,99.13655434148967,57.40148956094816,6284,0.0954563857786285,6045,239,0,0.9619669000636537,0.03803309993634628,0.0,True,2390.0,27.581889492550356,0.7798456627999236,2436,0,0.0,,0.26675650430010106,0.3443593434156103,
5,16,34.324617143566016,37.49257223439948,3.7320508075688767,92.42805576421429,4.732050807568877,105.59324923980878,44.33810764040469,4864,0.07388603762368699,4851,13,0,0.997327302631579,0.0026726973684210527,0.0,True,2689.0,29.256371681194732,0.8147456600458662,2700,0,0.0,,0.2791745113185196,0.3699677034698106,
5,18,34.324617143566016,35.02191846967576,4.0197648378370845,99.55358802648801,5.0197648378370845,109.27906652891433,31.329027432872987,4631,0.07034667767995363,3426,1205,0,0.7397970200820557,0.2602029799179443,0.0,True,1455.0,21.520708268953776,0.6206714748946848,1643,0,0.0,,0.22547340809847533,0.3827822185373187,
6,7,34.76657547463431,36.973836016949825,1.8284271247461903,45.2828680424453,2.8284271247461903,91.25228586393656,82.88652445148418,3643,0.05533857628764221,3285,358,0,0.9017293439472962,0.09827065605270381,0.0,True,2515.0,28.293981051669515,0.7887878104794167,2537,0,0.0,,0.27149702790318514,0.39564392373896,
