bead_a,bead_b,r_a_vox,r_b_vox,gap_vox,gap_um,dsum_min,z_mid,axis_dip_deg,lens_vox,lens_mm3,binder_vox,pore_vox,crack_vox,binder_frac,pore_frac,crack_frac,connected,bond_area_vox,r_bond_vox,r_bond_over_R,neck_binder_vox,neck_crack_vox,neck_severed,q_crack_med,q_binder_med,q_pore_med,dq_paired,cls
1,140,38.09217778269345,35.127419477335195,10.0,247.660229,11.0,203.6304111140808,80.28181153410958,9494,0.144217524917616,2328,2845,4433,0.2452074994733516,0.299662945017906,0.4669264798820307,True,195.0,7.878478774854901,0.2152013687503808,472,921,0.6611629576453697,0.3077696896900046,0.0833333333333333,0.3115648476058469,0.2244363563566713,cohesive
1,142,38.09217778269345,34.808003044394134,5.708203932499369,141.36950931014945,6.708203932499369,188.8956339150147,78.85743384972217,6548,0.0994666476891246,3152,2289,1129,0.4813683567501527,0.3495723885155772,0.1724190592547342,True,140.0,6.6755811781245455,0.1831430622636835,606,328,0.3511777301927195,0.356789172325331,0.152258812094334,0.3483314773547883,0.2045303602309969,cohesive
1,306,38.09217778269345,35.52153417314591,1.7320508075688772,42.89600996421431,2.732050807568877,167.57176020200552,44.59530006281258,3225,0.0489889949293566,1455,1149,627,0.4511627906976744,0.3562790697674418,0.1944186046511627,True,184.0,7.653039857325812,0.2079243025244222,297,843,0.7394736842105263,0.3726822671238252,0.2108967220595339,0.3660254037844387,0.1617855450642912,cohesive
2,47,38.363088746601086,36.29632607499437,1.0,24.7660229,2.0,629.4335900889646,16.779156352857324,3314,0.0503409392855466,3180,119,15,0.95956547978274,0.0359082679541339,0.0045262522631261,True,1797.0,23.91658139183508,0.6406849410482424,1799,642,0.2630069643588693,0.3203772410170407,0.2989350844248255,0.4068781988545112,0.0214421565922152,intact
2,49,38.363088746601086,36.699556005373374,2.0,49.5320458,3.0,604.3891882569386,72.3042998864283,4462,0.067779502441795,4402,60,0,0.9865531151949798,0.0134468848050201,0.0,True,1980.0,25.104851615652017,0.6689039987494353,1980,184,0.0850277264325323,,0.2843646522044218,0.3797958971132712,,intact
2,70,38.363088746601086,36.52162050261049,1.0,24.7660229,2.0,555.4717932310829,13.799407143971518,3639,0.0552778147435437,3579,60,0,0.9835119538334708,0.0164880461665292,0.0,True,2333.0,27.250999329690345,0.7278121155281714,2333,0,0.0,,0.2989350844248255,0.396764909360816,,intact
2,81,38.363088746601086,36.012877868255195,1.7320508075688772,42.89600996421431,2.732050807568877,620.7879938875649,43.28569368588806,3600,0.0546853896885841,3547,52,1,0.9852777777777778,0.0144444444444444,0.0002777777777777,True,2190.0,26.40262583044538,0.7099773497309161,2191,631,0.2236002834868887,0.2661832955178855,0.2898979485566356,0.355339270094927,-0.02371465303875,intact
2,89,38.363088746601086,35.79819589924081,1.0,24.7660229,2.0,566.496668025286,45.25455662402305,3685,0.0559765725006756,3602,83,0,0.9774762550881954,0.0225237449118046,0.0,True,2598.0,28.75707016205733,0.775527832328878,2598,0,0.0,,0.3090169943749474,0.3956439237389599,,intact
3,252,38.19249480558332,34.67978407640629,1.7320508075688772,42.89600996421431,2.732050807568877,759.3794797162425,57.28383572618476,3617,0.0549436262510024,3551,66,0,0.9817528338401992,0.0182471661598009,0.0,True,2443.0,27.88603686340174,0.765340052245677,2443,43,0.0172968624296057,,0.2843646522044218,0.414213562373095,,intact
3,255,38.19249480558332,35.04234372822224,1.0,24.7660229,2.0,704.9438965334523,23.91969091139457,3498,0.0531359703140742,3436,62,0,0.982275586049171,0.017724413950829,0.0,True,2709.0,29.364970316209902,0.8019399210569678,2709,593,0.179588128407026,,0.3090169943749474,0.4,,intact
4,112,37.65473921112723,35.45518929419597,8.449489742783179,209.26025646308327,9.44948974278318,853.3521709041831,58.13506068645,8881,0.1349058182845321,3750,720,4411,0.422249746650152,0.0810719513568291,0.4966783019930188,False,6.0,1.381976597885342,0.0378054424655802,239,1549,0.866331096196868,0.3224156201423654,0.168456309499694,0.3041291760771312,0.1539593106426713,cohesive
5,31,38.19527690483984,37.10203613363907,1.0,24.7660229,2.0,566.0350777136106,88.98600838781182,4014,0.0609742095027712,3968,46,0,0.9885401096163428,0.0114598903836572,0.0,True,3467.0,33.22018024332803,0.8823735908438498,3467,2,0.0005765350245027,,0.3090169943749474,0.3827822185373187,,intact
3,105,38.19249480558332,35.87299012264121,1.0,24.7660229,2.0,744.4201940543493,81.79770619658508,3558,0.0540473934755506,3503,55,0,0.9845418774592468,0.0154581225407532,0.0,True,3465.0,33.21059703809666,0.896790105952332,3465,0,0.0,,0.304845440523399,0.3797958971132712,,intact
3,165,38.19249480558332,35.19744575829755,3.1815405503520555,78.79410612729761,4.181540550352056,767.4157254316133,43.47343843657168,4287,0.0651211848874889,4254,33,0,0.992302309307208,0.0076976906927921,0.0,True,2777.0,29.73123868816075,0.8102265367630804,2777,0,0.0,,0.2771863727725964,0.3892672660195336,,intact
3,169,38.19249480558332,35.30822230156813,1.8284271247461903,45.2828680424453,2.8284271247461903,766.7425930169502,44.38636792885946,3442,0.0522853086966962,3422,20,0,0.9941894247530504,0.0058105752469494,0.0,True,3087.0,31.346811937569694,0.852966152476347,3087,0,0.0,,0.2898979485566356,0.2931029344062665,,intact
3,241,38.19249480558332,35.33832533165019,1.8284271247461903,45.2828680424453,2.8284271247461903,732.7508035256893,80.69268764973042,3506,0.053257493402271,3380,126,0,0.96406160867085,0.03593839132915,0.0,True,2693.0,29.278123633405,0.7963497096526889,2693,0,0.0,,0.2817290466902531,0.363663749649012,,intact
2,236,38.363088746601086,34.965316634264894,1.414213562373095,35.02444547122265,2.414213562373095,588.0929871725214,83.10764353504294,4026,0.0611564941350665,3834,181,11,0.9523099850968704,0.0449577744659711,0.0027322404371584,True,2043.0,25.50111953372801,0.6955318174798923,2043,366,0.1519302615193026,0.375,0.2817290466902531,0.3874258867227931,0.0932709533097468,intact
2,243,38.363088746601086,37.237909116832206,6.6212327846342935,163.98160277048368,7.621232784634293,593.5562244217024,88.71915642900647,7332,0.1113759103324163,6548,55,729,0.8930714675395527,0.0075013638843426,0.0994271685761047,True,1162.0,19.23216284627303,0.5087806613614884,1162,626,0.3501118568232662,0.3435838933789736,0.2588283628687876,0.2540111516219911,0.084755530510186,cohesive
3,71,38.19249480558332,35.883375888636174,6.713293552551451,166.2615818569116,7.713293552551451,723.7697313305596,68.25153595748098,6679,0.1014565882583481,5205,165,1309,0.7793082796825872,0.0247042970504566,0.1959874232669561,True,1427.0,21.31263023618317,0.5754270597550007,1428,872,0.3791304347826087,0.3284126788115424,0.25,0.2421017236931483,0.0784126788115424,cohesive
3,95,38.19249480558332,36.1488861475314,1.0,24.7660229,2.0,715.3844476605036,51.09420432215535,3959,0.0601387382714179,3795,46,118,0.9585753978277344,0.0116190957312452,0.0298055064410204,True,2451.0,27.931658222104733,0.7514430822779724,2452,751,0.2344676865438651,0.3956439237389599,0.2989350844248255,0.3495151831824591,0.0967088393141344,intact
2,107,38.363088746601086,36.14912973635662,9.74165738677394,241.2621099247976,10.74165738677394,598.2845207923208,82.37526520178304,9331,0.1417414919956051,9062,269,0,0.9711713642696388,0.0288286357303611,0.0,True,1889.0,24.52116177918943,0.6581782767559891,1889,0,0.0,,0.2648713914878122,0.3424321625924286,,intact
2,116,38.363088746601086,36.11938763599711,8.281885242839627,205.10935957933825,9.281885242839628,618.8137988334665,51.67318864940003,7776,0.1181204417273417,7745,31,0,0.9960133744855968,0.0039866255144032,0.0,True,1986.0,25.142860496789307,0.6751349234855352,1986,0,0.0,,0.266756504300101,0.221636875083904,,intact
2,125,38.363088746601086,35.505697131095886,1.414213562373095,35.02444547122265,2.414213562373095,569.0442941027932,52.16938426414048,3255,0.0494447065100948,3182,69,4,0.9775729646697388,0.0211981566820276,0.0012288786482334,True,1777.0,23.783117284086124,0.6439287447735594,1778,285,0.1381483276781386,0.2662619222137302,0.2898979485566356,0.3228287342177362,-0.0236360263429054,intact
2,230,38.363088746601086,36.28031198366947,1.0,24.7660229,2.0,579.8585489446698,70.1234993039769,3749,0.0569487572062505,3718,31,0,0.9917311283008804,0.0082688716991197,0.0,True,3015.0,30.979094674378864,0.8300558219828197,3015,0,0.0,,0.3090169943749474,0.4014916240907943,,intact
