bead_id,voxels,volume_mm3,r_eq_vox,cz,cy,cx,r_fit_vox,fill,roughness,sphericity,radius_ok,shape_ok,scan,on_boundary
1,238464,3.622360212971812,38.469045005996286,39.79122215512614,40.67384594739667,41.74588617149758,38.02979099512304,1.0350525494185232,0.0139476484892788,0.9901659008046468,True,True,1,False
2,234360,3.560018868726826,38.24708080178451,39.85952380952381,40.59746543778802,40.85682283666154,37.81972002521926,1.034284345799073,0.0136036008176961,0.987377629639194,True,True,1,False
3,234460,3.5615379073292868,38.25251996121985,40.70316045380875,40.96694958628338,42.24199863516165,37.806660876470914,1.0357982816320284,0.0157140318206187,0.982644977648348,True,True,1,False
4,226731,3.444131413745102,37.827481835382166,39.54608324402045,40.33115453996145,40.210800463985954,37.398515401047646,1.0348066400142046,0.0122962267115569,0.9871673010130602,True,True,1,False
5,222649,3.382124257992657,37.59909397495719,39.347897363114136,39.31754914686345,39.471845820102494,37.163756132980666,1.0355553931767054,0.0117471808267129,0.9944506981025014,True,True,1,False
6,226661,3.443068086723379,37.82358853410111,39.77862534798664,39.69866893731167,38.538178160336365,37.40478089245194,1.0339673995124672,0.0162415035720304,0.9839006325560844,True,True,1,True
7,235323,3.5746472104685223,38.29939576652454,40.449412084666605,41.00513761935722,41.78835472945696,37.86250577740745,1.0350175388950371,0.0157396695338248,0.9856724814327243,True,True,1,False
8,224937,3.416879861216957,37.72744805110875,40.31891151744711,39.84573458346114,39.93348359762956,37.284167758376526,1.0360934522987713,0.0145098816251095,0.982836320096389,True,True,1,True
9,228985,3.478370543844565,37.95242012819042,39.80600039303884,40.17696792366312,38.01809288818045,37.54027175889112,1.0332994262353987,0.0195553832894616,0.979910741359464,True,True,1,True
10,234414,3.5608391495721547,38.25001814000371,39.94395812536794,41.81315109165835,40.614378834028685,37.82107543760985,1.034411440065765,0.0177596007293526,0.9668552248711186,True,True,1,True
