bead_a,bead_b,r_a_vox,r_b_vox,gap_vox,gap_um,z_mid,axis_dip_deg,lens_vox,lens_mm3,binder_vox,pore_vox,crack_vox,binder_frac,pore_frac,crack_frac,connected,bond_area_vox,r_bond_vox,r_bond_over_R,q_crack_med,q_binder_med,q_pore_med
2,34,38.24708080178451,37.06830288837944,2.0,49.5320458,339.17974549994733,70.6320397830251,3386,0.05143464707931829,3357,29,0,0.9914353219137626,0.008564678086237449,0.0,True,7.0,1.4927053303604616,0.039638789772385004,,0.3090169943749474,0.39564392373896
2,40,38.24708080178451,36.8907577734414,2.0,49.5320458,376.12465874310317,50.23720910951668,3680,0.05590062057055265,3666,14,0,0.996195652173913,0.0038043478260869567,0.0,True,1.0,0.5641895835477563,0.015017455765190939,,0.3090169943749474,0.4075925878904119
2,185,38.24708080178451,34.80741191602223,2.0,49.5320458,370.3912130556513,59.776818537532186,3357,0.05099412588460469,3355,2,0,0.9994042299672327,0.0005957700327673518,0.0,True,3.0,0.9772050238058398,0.026752770088502718,,0.30484544052339907,0.3912478224812742
2,197,38.24708080178451,34.79223274494799,2.0,49.5320458,359.97720684991964,77.6396130848608,3156,0.047940858293658746,3155,1,0,0.9996831432192649,0.0003168567807351077,0.0,True,1.0,0.5641895835477563,0.015448928971293597,,0.3008613653919205,0.4270509831248423
1,50,38.469045005996286,36.78491069754183,2.414213562373095,59.790468371222644,821.8387226960114,77.99694204470637,4031,0.06123244606518961,3998,33,0,0.9918134457950881,0.008186554204911933,0.0,True,11.0,1.8712051592547776,0.04973041328555176,,0.28989794855663564,0.4068781988545112
1,70,38.469045005996286,36.36716229364056,2.0,49.5320458,849.5317236087707,22.05366551277226,3318,0.05040170082964503,3250,68,0,0.9795057263411694,0.020494273658830622,0.0,True,8.0,1.5957691216057308,0.0426469800965842,,0.2989350844248255,0.4142135623730951
1,81,38.469045005996286,36.09381173401473,2.8284271247461903,70.0488909424453,844.5743899407055,37.462357960030225,3984,0.06051849792203309,3971,13,0,0.9967369477911646,0.003263052208835341,0.0,True,1.0,0.5641895835477563,0.015133260934864577,,0.2857142857142857,0.44151844011225294
1,88,38.469045005996286,36.156070638305195,10.348469228349535,256.2904258892499,817.0086650968069,85.68469077362043,9464,0.1437618133368778,9312,152,0,0.9839391377852916,0.016060862214708368,0.0,True,22.0,2.6462837142006137,0.07092206668902333,,0.2612038749637415,0.3184963389880135
2,218,38.24708080178451,35.39729835410642,2.414213562373095,59.790468371222644,319.3196289518068,32.2923777545211,3166,0.04809276215390481,3166,0,0,1.0,0.0,0.0,True,39.0,3.523362819972964,0.09568585845539372,,0.29339977411634566,
2,245,38.24708080178451,34.842778591540295,3.1462643699419726,77.92045543543696,339.8652445923483,71.4690924775382,4104,0.06234134424498589,4084,20,0,0.9951267056530214,0.004873294346978557,0.0,True,13.0,2.0342144725641096,0.0556633844817573,,0.28989794855663564,0.4031800049531814
2,303,38.24708080178451,33.97945920679168,11.403215514898179,282.4122965756036,392.79364305215324,10.193531489309064,9869,0.14991391967684353,9168,701,0,0.9289695004559733,0.07103049954402675,0.0,True,79.0,5.014626706796775,0.13885828412108173,,0.25506848710332525,0.3671364132752671
2,325,38.24708080178451,33.37415112376185,4.898979485566356,121.32823812616658,358.24912277200957,80.47182438718474,5355,0.08134451716176888,4952,403,0,0.9247432306255836,0.07525676937441643,0.0,True,2.0,0.7978845608028654,0.022280671229791296,,0.26618329551788555,0.37268226712382524
1,105,38.469045005996286,36.57684264942452,2.0,49.5320458,777.7218265738602,19.491405385001347,3715,0.05643228408141389,3705,10,0,0.9973082099596231,0.0026917900403768506,0.0,True,27.0,2.9316150714175193,0.0781286000607592,,0.3090169943749474,0.40692686358558544
1,110,38.469045005996286,35.8072597084671,2.0,49.5320458,785.1333964241389,39.46017197761349,3817,0.05798170345592377,3764,53,0,0.9861147498035107,0.013885250196489389,0.0,True,2.0,0.7978845608028654,0.021484228755593925,,0.3090169943749474,0.40453726661826384
1,117,38.469045005996286,36.18733253685068,9.288221436384907,230.0323047937795,841.2315598732748,49.50553967450291,8354,0.12690048484956437,8321,33,0,0.9960497965046684,0.003950203495331578,0.0,True,17.0,2.326213245840639,0.06231787082103128,,0.2658626798938589,0.35678917232533097
1,177,38.469045005996286,35.53962537564978,2.0,49.5320458,790.548161202543,52.819396218160996,2875,0.04367235982074426,2858,17,0,0.9940869565217392,0.00591304347826087,0.0,True,1.0,0.5641895835477563,0.015246580721916975,,0.2989350844248255,0.3827822185373187
