bead_a,bead_b,r_a_vox,r_b_vox,gap_vox,gap_um,z_mid,axis_dip_deg,lens_vox,lens_mm3,binder_vox,pore_vox,crack_vox,binder_frac,pore_frac,crack_frac,connected,bond_area_vox,r_bond_vox,r_bond_over_R,q_crack_med,q_binder_med,q_pore_med
1,140,38.09217778269345,35.127419477335195,11.0,272.4262519,203.6304111140808,80.28181153410958,9494,0.144217524917616,2328,7166,4433,0.2452074994733516,0.7547925005266484,0.46692647988203073,True,6.0,1.381976597885342,0.03774881724567413,0.3077696896900046,0.08333333333333333,0.3100910243363795
1,142,38.09217778269345,34.808003044394134,6.708203932499369,166.13553221014942,188.8956339150147,78.85743384972217,6548,0.09946664768912467,3152,3396,1129,0.4813683567501527,0.5186316432498472,0.17241905925473427,True,1.0,0.5641895835477563,0.015478413829616178,0.356789172325331,0.15225881209433406,0.35247044508942466
1,306,38.09217778269345,35.52153417314591,2.732050807568877,67.66203286421431,167.57176020200552,44.59530006281258,3225,0.04898899492935661,1455,1770,627,0.4511627906976744,0.5488372093023256,0.19441860465116279,True,1.0,0.5641895835477563,0.015328382948171716,0.37268226712382524,0.21089672205953397,0.36822030603275924
2,47,38.363088746601086,36.29632607499437,2.0,49.5320458,629.4335900889646,16.779156352857324,3314,0.0503409392855466,3180,134,15,0.9595654797827399,0.04043452021726011,0.004526252263126132,True,2.0,0.7978845608028654,0.02137398378247334,0.32037724101704074,0.2989350844248255,0.4
2,49,38.363088746601086,36.699556005373374,3.0,74.2980687,604.3891882569386,72.3042998864283,4462,0.06777950244179509,4402,60,0,0.9865531151949798,0.01344688480502017,0.0,True,13.0,2.0342144725641096,0.05420044762040179,,0.28436465220442186,0.3797958971132712
2,70,38.363088746601086,36.52162050261049,2.0,49.5320458,555.4717932310829,13.799407143971518,3639,0.05527781474354378,3579,60,0,0.9835119538334708,0.016488046166529265,0.0,True,13.0,2.0342144725641096,0.05432923471183877,,0.2989350844248255,0.39676490936081604
2,81,38.363088746601086,36.012877868255195,2.732050807568877,67.66203286421431,620.7879938875649,43.28569368588806,3600,0.05468538968858412,3547,53,1,0.9852777777777778,0.014722222222222222,0.0002777777777777778,True,41.0,3.6125759969217834,0.09714363823004586,0.26618329551788555,0.2898979485566356,0.35388936786452296
2,89,38.363088746601086,35.79819589924081,2.0,49.5320458,566.496668025286,45.25455662402305,3685,0.05597657250067569,3602,83,0,0.9774762550881954,0.022523744911804613,0.0,True,1.0,0.5641895835477563,0.01521520524467855,,0.3090169943749474,0.39564392373895996
3,252,38.192494805583316,34.67978407640629,2.732050807568877,67.66203286421431,759.3794797162425,57.283835726184755,3617,0.05494362625100243,3551,66,0,0.9817528338401991,0.01824716615980094,0.0,True,5.0,1.2615662610100802,0.03462403757272579,,0.2843646522044218,0.41421356237309503
3,255,38.192494805583316,35.04234372822224,2.0,49.5320458,704.9438965334523,23.91969091139457,3498,0.053135970314074236,3436,62,0,0.982275586049171,0.017724413950829045,0.0,True,11.0,1.8712051592547776,0.051101502965450525,,0.3090169943749474,0.4
