bead_id,voxels,volume_mm3,r_eq_vox,cz,cy,cx,r_fit_vox,fill,roughness,sphericity,radius_ok,shape_ok,scan
1,233058,3.540240986122788,38.176121305216235,41.13387225497516,43.36722618404002,40.47194689733886,37.69806938290793,1.038527683199591,0.019351009635922355,0.9633249737092008,True,True,1
2,232795,3.5362459145983167,38.16175564084514,39.95682467406946,41.07082626345068,40.591009257071676,37.71770783684994,1.0357362167972668,0.01374389693920861,0.9840245071746211,True,True,1
3,236894,3.5985113069131796,38.38443484316475,40.105574645199965,40.086093358210846,40.490096836559815,37.952922648788125,1.034498286994091,0.013906442966849921,0.9921929009872913,True,True,1
4,229774,3.4903557584179796,37.995960291012764,40.55356132547634,39.940389252047666,39.80508238530034,37.54999747948,1.0360543507496631,0.01491555249049254,0.9822958598343746,True,True,1
5,225484,3.425189002372417,37.75800506399018,40.63546415710206,41.06884302212131,41.7510510723599,37.32385153838426,1.035303688493218,0.016153923036716176,0.9778495611577873,True,True,1
6,217712,3.3071293221891738,37.31910782869313,38.811342507532885,39.6631421327258,39.494070147718084,36.88751748565109,1.0355128034047254,0.020176556239041726,0.988896273137261,True,True,1
7,223951,3.401902140596695,37.67224185229094,38.90772088537225,39.603533808734944,39.80225138534769,37.239901619872775,1.0352347025409645,0.013434333494696702,0.9924259932402539,True,True,1
8,215480,3.273224380582252,37.19113672578409,39.52055411175051,39.47484685353629,39.658682940412106,36.75101021040155,1.036359691860115,0.013656218502408028,0.9821816771611873,True,True,1
9,215832,3.278571396462913,37.21137705453227,39.0471709477742,38.545484450869196,39.84837280848067,36.77773021322407,1.0357917744565681,0.01410916602955183,0.985381811832275,True,True,1
10,215848,3.278814442639307,37.21229654642295,38.83503669248731,39.38281105222193,39.736592416885955,36.77988945779294,1.0356861313565795,0.013905311723674374,0.9852931657015098,True,True,1
11,228056,3.4642586752277054,37.90102580577107,39.62136931280037,40.30348247798786,41.48033377766864,37.46554941143641,1.0352770255193713,0.01467055809524798,0.9832232105000551,True,True,1
12,230762,3.5053638598102914,38.050341742819775,39.9105701978662,40.65577954775916,40.40423466601953,37.615896939946836,1.035050213544604,0.015601756687984138,0.9821373476044741,True,True,1
13,214886,3.2642012912836353,37.15693112928137,38.63293094943365,40.958619919399126,41.37721861824409,36.683566345909306,1.0392136919629524,0.028381558380528964,0.9771288710129002,True,True,1
14,226515,3.4408502903637865,37.81546563979587,39.21258194821535,40.7325960753151,40.28912875527007,37.37089237788422,1.0361149780595864,0.014825581688009551,0.9869435019180628,True,True,1
15,220500,3.3494801184257774,37.47773432074183,40.432312925170066,40.352698412698416,38.265473922902494,37.0359081522637,1.036217659377682,0.014676452931336714,0.9790635996207929,True,True,1
16,209177,3.1774793774691554,36.824916740523015,38.77937822992011,39.58124937254096,38.40176979304608,36.41613944342997,1.0340549327838078,0.014347400723049342,0.980192385946986,True,True,1
17,221556,3.365521166067762,37.53746746694122,39.74980591814259,40.226615392948055,39.711571792233116,37.09307857342265,1.0363734245994434,0.014613531703881457,0.9791773483348588,True,True,1
18,215471,3.27308766710803,37.19061892847769,39.09339075792102,39.53129655498884,39.924936534382816,36.732116085335655,1.0379163980963866,0.01628144152341476,0.9793229655606169,True,True,1
19,208389,3.1655093532817657,36.778616957371504,39.0889298379473,38.92988593447831,39.104520872022995,36.33468269804144,1.037103417660062,0.014598427588240913,0.9824334114652602,True,True,1
20,219064,3.327666724094442,37.39619950520207,40.04609611802943,39.022335938355916,40.619618011174815,36.95831970061596,1.0359665917422292,0.014851328812096025,0.9818939316368207,True,True,1
21,217509,3.3040456738261788,37.30750513840562,38.99337498678216,40.98095710982074,40.10831275947202,36.8590124590271,1.0369493331892372,0.015371748684701961,0.9775556249815828,True,True,1
22,224048,3.403375608041082,37.67768006571521,41.97592926515747,37.9105905877312,40.25576662143826,37.22999905364192,1.036509737967915,0.030181655524628856,0.946710117948742,True,True,1
23,218236,3.315089084466068,37.349024330967524,39.178251984090615,39.60603200205282,39.411985190344396,36.90766683005949,1.0363059914929187,0.014063073536259059,0.9861789751754656,True,True,1
24,210734,3.2011308085094683,36.91605920266988,38.59510567824841,37.975798874410394,40.1404756707508,36.508197497338045,1.0338911733375091,0.01659943762792636,0.9852210299787196,True,True,1
25,205000,3.1140291350443734,36.57815118294395,38.83267317073171,39.44649756097561,39.452663414634145,36.126824154391265,1.0379487165233365,0.014187403580576187,0.9759925122373637,True,True,1
26,220429,3.34840160101803,37.47371133542185,39.36224816153954,39.61995926125873,40.16621224974935,37.03156482151521,1.0362485327291195,0.016118564699637624,0.9808714048006152,True,True,1
27,210624,3.1994598660467615,36.90963487425837,38.431066735034946,40.13857395168642,38.39292768155576,36.46507020460303,1.0370222746587239,0.014860814447312904,0.9864693913001886,True,True,1
28,212942,3.2346711808518,37.044542858068375,38.7910886532483,39.160823134938155,39.68119487935682,36.592745027617134,1.03749915268412,0.01584738012586225,0.9801840320028619,True,True,1
29,213148,3.2378004003728686,37.056484633061416,43.51810009946141,39.95445887364648,40.37245951170079,36.616825059104144,1.0364553489088733,0.024205422150615157,0.973546859058208,True,True,1
30,221176,3.3597488193784115,37.515994490235144,39.55676474843563,39.54486924440265,39.99727818569827,37.08196314439718,1.035526545540042,0.01561614482212253,0.9851503649623945,True,True,1
31,206067,3.130237276932629,36.6415030022981,37.975459437949795,38.12089757214886,37.79272275522039,36.215126619134985,1.035737773517686,0.014116513861928456,0.9904135823031103,True,True,1
32,207808,3.156683739001469,36.744404873231424,39.39041326609178,39.65762627040345,39.444203303048965,36.300611670637025,1.037126722126951,0.01471809871823661,0.9843161192075536,True,True,1
33,211526,3.213161594240957,36.96224850206859,39.38903491769333,39.75157663833288,38.06840293864584,36.520971638329414,1.0366882528447765,0.014549822835523812,0.9882064820801603,True,True,1
34,208105,3.1611952836507773,36.761901622413504,39.619691982412725,39.93954974652219,39.45786021479542,36.29451710805485,1.03913228409543,0.021664358219764,0.9640926431843864,True,True,1
35,222908,3.38605856797303,37.61366757398905,39.7399689558024,38.81142893032103,40.340943348825526,37.15429020014926,1.037552638701291,0.031692409402456746,0.9786553892090273,True,True,1
