specimen,eps_d,clusters,clusters_null,p_clusters,biggest,biggest_null,p_biggest,rms_R,rms_null,p_rms,frac_in
Alumina_75_1000_T5,0.6,51,33.0,0.0,22,19.0,0.32,0.24645668545870994,0.2183592677092361,0.83,0.23391812865497075
Alumina_75_1000_T5,0.8,70,68.0,0.425,139,95.5,0.1825,0.22027620676144932,0.17116996458899347,0.8425,0.6120857699805068
Alumina_75_1000_T5,1.0,6,5.0,0.4375,1849,1876.0,0.78,0.07069800944254805,0.2775247872882638,0.015,0.9346978557504874
Alumina_75_1000_T5,1.25,1,1.0,1.0,2032,2033.0,0.6475,4.878570159024423,4.873851816154209,0.535,0.9902534113060428
Alumina_75_1000_T5,1.5,1,1.0,1.0,2042,2048.0,0.975,4.89320058324992,4.902970564814288,0.4275,0.9951267056530214
Alumina_75_1000_T5,2.0,1,1.0,1.0,2052,2052.0,0.5175,4.910537800273901,4.907654091535516,0.5425,1.0
