specimen,eps_d,clusters,clusters_null,p_clusters,biggest,biggest_null,p_biggest,rms_R,rms_null,p_rms,frac_in
Glass_75_1000_T6,0.6,0,0.0,1.0,0,0.0,1.0,,0.30268390235435916,,0.0
Glass_75_1000_T6,0.8,3,3.0,0.5075,10,10.0,0.5725,0.1054167678821927,0.27947306745821,0.007614213197969543,0.20869565217391303
Glass_75_1000_T6,1.0,7,4.0,0.05,20,29.0,0.8925,0.20538657268677207,0.3355684242780879,0.105,0.6782608695652174
Glass_75_1000_T6,1.25,2,3.0,0.92,81,71.0,0.225,0.7918581367461242,0.5648665631661167,0.7625,0.8434782608695652
Glass_75_1000_T6,1.5,1,1.0,1.0,112,109.0,0.115,2.1411616475765305,1.995699701530444,0.96,0.9739130434782609
Glass_75_1000_T6,2.0,1,1.0,1.0,115,115.0,0.9625,2.1874046629548447,2.0695226884740343,0.9625,1.0
