specimen,eps_d,clusters,clusters_null,p_clusters,biggest,biggest_null,p_biggest,rms_R,rms_null,p_rms,frac_in
Alumina_175_1800_T5,0.6,0,1.0,1.0,0,6.0,1.0,,0.3222628994741526,,0.0
Alumina_175_1800_T5,0.8,2,2.0,0.75,15,11.0,0.2425,0.36954297406802666,0.3308290350462534,0.6062992125984252,0.18032786885245902
Alumina_175_1800_T5,1.0,9,3.0,0.0,20,45.0,0.995,0.2123589153308353,0.38985520047722744,0.155,0.6721311475409836
Alumina_175_1800_T5,1.25,5,1.0,0.0075,67,96.0,0.8975,0.2123589153308353,1.669167555637304,0.065,0.8524590163934426
Alumina_175_1800_T5,1.5,2,1.0,0.0575,88,114.0,0.995,0.933174994766678,2.1253971981700035,0.0525,0.9098360655737705
Alumina_175_1800_T5,2.0,1,1.0,1.0,121,121.0,0.5325,2.6650710836509277,2.285931401000381,1.0,0.9918032786885246
