specimen,eps_d,clusters,clusters_null,p_clusters,biggest,biggest_null,p_biggest,rms_R,rms_null,p_rms,frac_in
Alumina_75_1800_T7,0.6,0,0.0,1.0,0,0.0,1.0,,,,0.0
Alumina_75_1800_T7,0.8,0,0.0,1.0,0,0.0,1.0,,,,0.0
Alumina_75_1800_T7,1.0,0,0.0,1.0,0,0.0,1.0,,,,0.0
Alumina_75_1800_T7,1.25,0,0.0,1.0,0,0.0,1.0,,,,0.0
Alumina_75_1800_T7,1.5,0,0.0,1.0,0,0.0,1.0,,,,0.0
Alumina_75_1800_T7,2.0,1,0.0,0.1475,7,0.0,0.0875,0.4443446487349245,0.7754999613958597,0.03389830508474576,0.5384615384615384
