specimen,eps_d,clusters,clusters_null,p_clusters,biggest,biggest_null,p_biggest,rms_R,rms_null,p_rms,frac_in
Alumina_100_1800_T5,0.6,0,0.0,1.0,0,0.0,1.0,,0.3490243781073199,,0.0
Alumina_100_1800_T5,0.8,0,1.0,1.0,0,6.0,1.0,,0.35537235318550686,,0.0
Alumina_100_1800_T5,1.0,5,4.0,0.2625,14,22.0,0.8575,0.3015880133952152,0.36054139618907405,0.3075,0.3963963963963964
Alumina_100_1800_T5,1.25,6,2.0,0.005,22,66.0,1.0,0.3843318027884005,0.9874840626933248,0.1925,0.7837837837837838
Alumina_100_1800_T5,1.5,1,1.0,1.0,109,105.0,0.065,2.4752772256108004,2.089957597975232,1.0,0.9819819819819819
Alumina_100_1800_T5,2.0,1,1.0,1.0,111,111.0,0.8025,2.462972806953774,2.212172875638017,0.9975,1.0
